Year,Site,Plot,Subplot,Species_name,Number,DPM_Height,Fencing,Treatment,
2024,A,3,Z3,Hyparrhenia filipendula,2,17.8,Fenced,TFB,
2024,A,3,Z3,Setaria incrassata,2,14.2,Fenced,TFB,
2024,A,3,Z3,Eragrostis superba,1,NA,Fenced,TFB,
2024,A,3,Z3,Urochloa trichopus,6,31.7,Fenced,TFB,
2024,A,3,Z3,Hyparrhenia filipendula,2,19.9,Fenced,TFB,
2024,A,3,Z3,Hyparrhenia hirta,7,18.7,Fenced,TFB,
2024,A,3,Z3,Pogonarthria squarrosa,3,18.5,Fenced,TFB,
2024,A,3,Z4,Heteropogon contortus,1,14.9,Unfenced,TFB,
2024,A,3,Z4,Aristida adscensionis,1,17.3,Unfenced,TFB,
2024,A,3,Z4,NA,NA,19.4,Unfenced,TFB,
2024,A,3,Z4,NA,NA,16.1,Unfenced,TFB,
2024,A,3,Z4,Heteropogon contortus,1,8.5,Unfenced,TFB,
2024,A,3,Z4,Melinis repens,2,9.7,Unfenced,TFB,
2024,A,3,Z4,Digitaria eriantha,1,11.6,Unfenced,TFB,
2024,A,3,Z4,Setaria incrassata,1,10.6,Unfenced,TFB,
2024,A,3,Z4,Heteropogon contortus,2,6,Unfenced,TFB,
2024,A,3,Z4,Urochloa trichopus,4,10.9,Unfenced,TFB,
2024,A,3,Z4,Themeda triandra,2,11.4,Unfenced,TFB,
2024,A,3,Z4,NA,NA,13.2,Unfenced,TFB,
2024,A,3,Z4,Urochloa trichopus,2,42.7,Unfenced,TFB,
2024,A,3,Z4,Melinis repens,1,41.3,Unfenced,TFB,
2024,A,3,Z4,Cymbopogon caesius,1,37.6,Unfenced,TFB,
2024,A,3,Z4,NA,NA,36.9,Unfenced,TFB,
2024,A,3,Z4,Heteropogon contortus,1,6.4,Unfenced,TFB,
2024,A,3,Z4,Aristida adscensionis,1,18,Unfenced,TFB,
2024,A,3,Z4,Urochloa trichopus,2,21,Unfenced,TFB,
2024,A,3,Z4,Hyparrhenia filipendula,2,23.8,Unfenced,TFB,
2024,A,3,Z4,Pogonarthria squarrosa,1,NA,Unfenced,TFB,
2024,A,4,Z1,Bothriochloa insculpta,7,19.7,Fenced,TF,
2024,A,4,Z1,NA,NA,22.4,Fenced,TF,
2024,A,4,Z1,NA,NA,22.6,Fenced,TF,
2024,A,4,Z1,NA,NA,25,Fenced,TF,
2024,A,4,Z1,Urochloa serrata,1,21,Fenced,TF,
2024,A,4,Z1,Eragrostis gummiflua,1,20.5,Fenced,TF,
2024,A,4,Z1,Bothriochloa insculpta,8,20.4,Fenced,TF,
2024,A,4,Z1,NA,NA,20.5,Fenced,TF,
2024,A,4,Z1,Heteropogon contortus,1,22.5,Fenced,TF,
2024,A,4,Z1,Themeda triandra,1,22.5,Fenced,TF,
2024,A,4,Z1,NA,NA,22.5,Fenced,TF,
2024,A,4,Z1,NA,NA,22.5,Fenced,TF,
2024,A,4,Z1,Bothriochloa insculpta,7,24.1,Fenced,TF,
2024,A,4,Z1,Cymbopogon caesius,2,32,Fenced,TF,
2024,A,4,Z1,NA,NA,34.3,Fenced,TF,
2024,A,4,Z1,NA,NA,32.5,Fenced,TF,
2024,A,4,Z1,Bothriochloa insculpta,9,35.6,Fenced,TF,
