spec.name,spec.name.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name,One.Reason
Aristida congesta,Aristida congesta,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,21,1,wfo-0000848682,urn:lsid:ipni.org:names:389336-1,394517,Aristida congesta,species,wfo-4000003057,Roem. & Schult.,Poaceae,,,,Aristida,,congesta,,species,Valid,"Syst. Veg., ed. 15[bis]. 2: 401 (1817)",Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Syst. Veg., ed. 15 bis [Roemer & Schultes] 2: 401. 1817 [Nov 1817] to Syst. Veg., ed. 15 bis 2: 401 (1817), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389336-1,The Poaceae TEN,A,kew-394517,,FALSE,,,,
Melinis repens,Melinis repens,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,22,1,wfo-0000879582,urn:lsid:ipni.org:names:2945817-1,423957,Melinis repens,species,wfo-4000023650,(Willd.) Zizka,Poaceae,,,,Melinis,,repens,,species,Valid,Biblioth. Bot. 38(138): 55 (1988),Accepted,,wfo-0000896710,NA,"Source in seed data: wcs Update namepublishedIn from Biblioth. Bot. 38: 55 1988 to Biblioth. Bot. 38(138): 55 (1988), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/k",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2945817-1,The Poaceae TEN,A,kew-423957,,FALSE,,,,
Eragrostis rigidior,Eragrostis rigidior,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,23,1,wfo-0000867626,urn:lsid:ipni.org:names:400993-1,412447,Eragrostis cylindriflora,species,wfo-4000013668,Hochst.,Poaceae,,,,Eragrostis,,cylindriflora,,species,Valid,Flora 38: 324 (1855),Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Flora 38: 324. 1855 to Flora 38: 324 (1855), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-412447 >The Plant",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:400993-1,The Poaceae TEN,A,kew-412447,,TRUE,Synonym,wfo-0000868361,Eragrostis rigidior,
Cynodon dactylon,Cynodon dactylon,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,24,1,wfo-0000861178,urn:lsid:ipni.org:names:30244282-2,406339,Cynodon dactylon,species,wfo-4000010411,(L.) Pers.,Poaceae,,,,Cynodon,,dactylon,,species,Valid,Syn. Pl. 1: 85 (1805),Accepted,,wfo-0000883795,NA,"Source in seed data: wcs Updated namepublishedIn from Syn. Pl. 1: 85 1805 to Syn. Pl. [Persoon] 1: 85. 1805 [1 Apr-15 Jun 1805] , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397065-1,The Poaceae TEN,A,kew-406339,,FALSE,,,,
Setaria incrassata,Setaria incrassata,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,25,1,wfo-0000899271,urn:lsid:ipni.org:names:421607-1,442442,Setaria incrassata,species,wfo-4000035199,(Hochst.) Hack.,Poaceae,,,,Setaria,,incrassata,,species,Valid,Hochgebirgsfl. Afrika : 122 (1891),Accepted,,wfo-0000884638,NA,"Source in seed data: wcs Updated scientificnameAuthorship from (Hochst.) Hack. to Hack., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-442442 >The Plant List v.1",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:421607-1,The Poaceae TEN,A,kew-442442,,FALSE,,,,
Brachiaria serrata,Brachiaria serrata,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,26,1,wfo-0001347506,urn:lsid:ipni.org:names:77159556-1,,Urochloa serrata,species,wfo-4000039845,(Thunb.) Sosef,Poaceae,,,,Urochloa,,serrata,,species,Valid,Pl. Ecol. Evol. 149: 361 (2016),Accepted,,wfo-0000874561,NA,"Source in seed data: ipni Update namepublishedIn from Pl. Ecol. Evol. 149(3): 361. 2016 [1 Dec 2016] to Pl. Ecol. Evol. 149: 361 (2016), information provided by Alan E. on email Jun. 07 2021",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77159556-1,The Poaceae TEN,A,,,TRUE,Synonym,wfo-0000854245,Brachiaria serrata,
Aristida canescens,Aristida canescens,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,27,1,wfo-0000849101,urn:lsid:ipni.org:names:389622-1,394915,Aristida nemorivaga,species,wfo-4000003057,Henrard,Poaceae,,,,Aristida,,nemorivaga,,species,Valid,Meded. Rijks-Herb. 54A: 376 (1927),Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Meded. Rijks-Herb. 54(A): 376. 1927 [1 Aug 1927] to Meded. Rijks-Herb. 54A: 376 (1927), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantl",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389622-1,The Poaceae TEN,A,kew-394915,,TRUE,Synonym,wfo-0000848626,Aristida canescens,
Aristida congesta,Aristida congesta,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,28,1,wfo-0000848682,urn:lsid:ipni.org:names:389336-1,394517,Aristida congesta,species,wfo-4000003057,Roem. & Schult.,Poaceae,,,,Aristida,,congesta,,species,Valid,"Syst. Veg., ed. 15[bis]. 2: 401 (1817)",Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Syst. Veg., ed. 15 bis [Roemer & Schultes] 2: 401. 1817 [Nov 1817] to Syst. Veg., ed. 15 bis 2: 401 (1817), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389336-1,The Poaceae TEN,A,kew-394517,,FALSE,,,,
Brachiaria brizantha,Brachiaria brizantha,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,29,1,wfo-0000906798,urn:lsid:ipni.org:names:943736-1,449451,Urochloa brizantha,species,wfo-4000039845,(A.Rich.) R.D.Webster,Poaceae,,,,Urochloa,,brizantha,,species,Valid,Austral. Paniceae : 233 (1987),Accepted,,wfo-0000883322,NA,"Source in seed data: wcs Update namepublishedIn from Austral. Paniceae 233 1987 to Austral. Paniceae : 233 (1987), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:943736-1,The Poaceae TEN,A,kew-449451,,TRUE,Synonym,wfo-0000854060,Brachiaria brizantha,
Eragrostis viscosa,Eragrostis viscosa,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,30,1,wfo-0000868625,urn:lsid:ipni.org:names:401704-1,413373,Eragrostis viscosa,species,wfo-4000013668,(Retz.) Trin.,Poaceae,,,,Eragrostis,,viscosa,,species,Valid,"Mém. Acad. Imp. Sci. St.-Pétersbourg, Sér. 6, Sci. Math. 1: 397 (1830)",Accepted,,wfo-0000894261,NA,"Source in seed data: wcs Updated scientificnameAuthorship from (Retz.) Trin. to Trin., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-413373 >The Plant List v.1.1",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:401703-1,The Poaceae TEN,A,kew-413373,,FALSE,,,,Not a synonym
