Species_name,spec.name,scientificName,taxonomicStatus,New.accepted,scientificNameAuthorship,genus,taxonRank,family,taxonID,references,source
Terminalia prunioides,Terminalia prunioides,Terminalia prunioides,Accepted,FALSE,M.A.Lawson,Terminalia,species,Combretaceae,wfo-0000408552,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:171334-1,The Combretaceae TEN
Ormocarpum trichocarpum,Ormocarpum trichocarpum,Ormocarpum trichocarpum,Accepted,FALSE,(Taub.) Engl.,Ormocarpum,species,Fabaceae,wfo-0000176231,https://www.legumedata.org/taxonomy/taxon/2389151,The Fabaceae TEN - Legume Taxonomy Working Group
Cassia abbreviata,Cassia abbreviata,Cassia abbreviata,Accepted,FALSE,Oliv.,Cassia,species,Fabaceae,wfo-0000214576,https://www.legumedata.org/taxonomy/taxon/2702577,The Fabaceae TEN - Legume Taxonomy Working Group
Commiphora africana,Commiphora africana,Commiphora africana,Accepted,FALSE,(A.Rich.) Engl.,Commiphora,species,Burseraceae,wfo-0001328094,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:127576-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Pterocarpus rotundifolius,Pterocarpus rotundifolius,Pterocarpus rotundifolius,Accepted,FALSE,(Sond.) Druce,Pterocarpus,species,Fabaceae,wfo-0000172802,https://www.legumedata.org/taxonomy/taxon/2535343,The Fabaceae TEN - Legume Taxonomy Working Group
Pappea capensis,Pappea capensis,Pappea capensis,Accepted,FALSE,Eckl. & Zeyh.,Pappea,species,Sapindaceae,wfo-0000471143,,The Sapindaceae TEN
Sclerocarya birrea,Sclerocarya birrea,Sclerocarya birrea,Accepted,FALSE,(A.Rich.) Hochst.,Sclerocarya,species,Anacardiaceae,wfo-0000434908,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:71162-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Albizia versicolor,Albizia versicolor,Albizia versicolor,Accepted,FALSE,Welw. ex Oliv.,Albizia,species,Fabaceae,wfo-0000187086,https://www.legumedata.org/taxonomy/taxon/2627582,The Fabaceae TEN - Legume Taxonomy Working Group
Lannea schweinfurthii,Lannea schweinfurthii,Lannea schweinfurthii,Accepted,FALSE,Engl.,Lannea,species,Anacardiaceae,wfo-0000360222,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:69804-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Ximenia caffra,Ximenia caffra,Ximenia afra,Accepted,FALSE,Sond.,Ximenia,species,Olacaceae,wfo-0000428236,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:608572-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Indigofera ormocarpoides,Indigofera ormocarpoides,Indigofera ormocarpoides,Accepted,FALSE,Baker,Indigofera,species,Fabaceae,wfo-0000194123,https://www.legumedata.org/taxonomy/taxon/2864443,The Fabaceae TEN - Legume Taxonomy Working Group
Nuxia oppositifolia,Nuxia oppositifolia,Nuxia oppositifolia,Accepted,FALSE,(Hochst.) Benth.,Nuxia,species,Stilbaceae,wfo-0000797445,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:546840-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
