I.D_code ,longitude,latitude
SEP1Z1CR2,29.26134702,-19.62733101
SEP1Z1CR4,29.261531,-19.62705499
SEP1Z2CR1,29.26153942,-19.62704985
SEP1Z2CR3,29.26133897,-19.62678803
SEP1Z2CR4,29.26152749,-19.62678323
SEP1Z3CR1,29.26134755,-19.6273254
SEP1Z3CR2,29.26115338,-19.62735674
SEP1Z3CR3,29.26108338,-19.62708436
SEP1Z4CR2,29.26116404,-19.62707503
SEP1Z4CR3,29.26114724,-19.62678987
SEP1Z4CR4,29.26133985,-19.62679131
SEP1ZCENTER,29.26134004,-19.62705035
SEP2Z1CR1,29.26063394,-19.62761139
SEP2Z1CR2,29.26046479,-19.6276913
SEP2Z1CR4,29.26050397,-19.62739899
SEP2Z2CR1,29.26051411,-19.62735832
SEP2Z2CR3,29.26023801,-19.62719103
SEP2Z2CR4,29.26042546,-19.62709293
SEP2Z3CR1,29.26027218,-19.62773678
SEP2Z3CR2,29.26044303,-19.62769797
SEP2Z3CR3,29.26016802,-19.62747649
SEP2Z4CR2,29.26016802,-19.62750301
SEP2Z4CR3,29.26005344,-19.62721581
SEP2Z4CR4,29.26024169,-19.62715785
SEP2ZCENTER,29.26034475,-19.6274325
SEP3Z1CR1,29.2596433,-19.62793707
SEP3Z1CR2,29.25946312,-19.62791383
SEP3Z1CR4,29.25973382,-19.62769955
SEP3Z2CR1,29.25963138,-19.62735224
SEP3Z2CR3,29.25973702,-19.62774097
SEP3Z2CR4,29.25981052,-19.6274395
SEP3Z3CR1,29.25946615,-19.62785912
SEP3Z3CR2,29.2592774,-19.627771
SEP3Z3CR3,29.25939065,-19.62752131
SEP3Z4CR2,29.259402,-19.62753997
SEP3Z4CR3,29.25946581,-19.62724758
SEP3Z4CR4,29.25962999,-19.627373
SEP3ZCENTER,29.25956788,-19.62761003
SEP4Z1CR1,29.25845608,-19.62772131
SEP4Z1CR2,29.25825926,-19.62771216
SEP4Z1CR4,29.25856769,-19.62746684
SEP4Z2CR1,29.25851725,-19.62722919
SEP4Z2CR3,29.25857001,-19.62747904
SEP4Z2CR4,29.258697,-19.62723898
SEP4Z3CR1,29.25825703,-19.627732
SEP4Z3CR2,29.25807027,-19.6276809
SEP4Z3CR3,29.25818531,-19.62744055
SEP4Z4CR2,29.25817396,-19.62742598
SEP4Z4CR3,29.25827078,-19.62716784
SEP4Z4CR4,29.258525,-19.62722003
SEP4ZCENTER,29.25836601,-19.62747876
SEP5Z1CR1,29.26224611,-19.62699692
SEP5Z1CR2,29.26206501,-19.62702901
SEP5Z1CR4,29.26230467,-19.62672435
SEP5Z2CR1,29.26231203,-19.62671301
SEP5Z2CR3,29.26213982,-19.62644663
SEP5Z2CR4,29.26235391,-19.62644834
SEP5Z3CR1,29.26205719,-19.62701946
SEP5Z3CR2,29.26185239,-19.62700926
SEP5Z3CR3,29.26192209,-19.62674898
SEP5Z4CR2,29.26192302,-19.62671796
SEP5Z4CR3,29.26196845,-19.62646414
SEP5Z4CR4,29.26213098,-19.62644496
SEP5ZCENTER,29.2621244,-19.62673949
SFP1Z1CR1,29.18478546,-19.52966483
SFP1Z1CR2,29.18507295,-19.52968072
SFP1Z1CR4,29.18482804,-19.52983598
SFP1Z2CR1,29.18480724,-19.52984894
SFP1Z2CR3,29.18510335,-19.53003063
SFP1Z2CR4,29.18482583,-19.5300217
SFP1Z3CR2,29.18507656,-19.52966206
SFP1Z3CR3,29.18535994,-19.52973269
SFP1Z3CR4,29.18536704,-19.52992255
SFP1Z4CR1,29.18513004,-19.53004897
SFP1Z4CR3,29.18537403,-19.52989801
SFP1Z4CR4,29.18538826,-19.53009953
SFP1ZCENTER,29.1850866,-19.52986023
SFP2Z1CR1,29.18479655,-19.53057573
SFP2Z1CR2,29.18479962,-19.5303896
SFP2Z1CR3,29.18507523,-19.53042164
SFP2Z2CR2,29.18476601,-19.53058599
SFP2Z2CR3,29.18479581,-19.53074738
SFP2Z2CR4,29.18507427,-19.53081346
SFP2Z3CR2,29.18534797,-19.53067099
SFP2Z3CR3,29.18536945,-19.53044866
SFP2Z3CR4,29.18505804,-19.53040796
SFP2Z4CR1,29.18502199,-19.53083603
SFP2Z4CR3,29.18536688,-19.53063164
SFP2Z4CR4,29.18535936,-19.53081005
SFP2ZCENTER,29.18507088,-19.53059642
SFP3Z1CR1,29.18476993,-19.53130153
SFP3Z1CR2,29.18479054,-19.53110651
SFP3Z1CR3,29.18502488,-19.53119626
SFP3Z2CR1,29.18476052,-19.53146919
SFP3Z2CR2,29.184792,-19.53131497
SFP3Z2CR4,29.18502469,-19.53155677
SFP3Z3CR2,29.18504697,-19.53122403
SFP3Z3CR3,29.18533418,-19.53125971
SFP3Z3CR4,29.18531768,-19.53143554
SFP3Z4CR1,29.18503004,-19.53155603
SFP3Z4CR3,29.18530497,-19.53143097
SFP3Z4CR4,29.18530116,-19.53162047
SFP3ZCENTER,29.185051,-19.53138102
SFP4Z1CR1,29.18446216,-19.53194005
SFP4Z1CR2,29.18446509,-19.53176265
SFP4Z1CR3,29.18473659,-19.5318393
SFP4Z2CR1,29.18449218,-19.53211569
SFP4Z2CR2,29.184462,-19.53192098
SFP4Z2CR3,29.1847397,-19.53219855
SFP4Z3CR2,29.18474103,-19.53186298
SFP4Z3CR3,29.18501522,-19.53186886
SFP4Z3CR4,29.18502251,-19.53206913
SFP4Z4CR1,29.18475604,-19.53221602
SFP4Z4CR3,29.18500104,-19.53208996
SFP4Z4CR4,29.18503006,-19.53224779
SFP4ZCENTER,29.18475298,-19.53202166
SFP5Z1CR1,29.18427209,-19.53239954
SFP5Z1CR2,29.18426766,-19.53222023
SFP5Z1CR3,29.18452106,-19.53234096
SFP5Z2CR1,29.18428558,-19.53259108
SFP5Z2CR2,29.18426402,-19.53240403
SFP5Z2CR4,29.18453203,-19.53270516
SFP5Z3CR2,29.18450299,-19.53234896
SFP5Z3CR3,29.18478194,-19.53246976
SFP5Z3CR4,29.18479897,-19.53265218
SFP5Z4CR1,29.18451799,-19.53269304
SFP5Z4CR3,29.18480901,-19.53265398
SFP5Z4CR4,29.18480535,-19.53283715
SFP5ZCENTER,29.18453216,-19.53253777
