I.D_code,Latitude,Longitude,Elevation,
SDP2Z4CR2,-19.639452,29.22099201,1339.153687,2024-04-16T06:37:11Z
SDP2Z4CR3,-19.63917204,29.221048,1336.233154,2024-04-24T08:33:59Z
SDP2Z4CR4,-19.63918797,29.22124003,1337.811523,2024-04-16T06:25:53Z
SDP2ZCENTER,-19.63945996,29.22118597,1340.310913,2024-04-24T08:55:57Z
SDP3Z1CR1,-19.63978803,29.22214201,1332.356079,2024-03-27T06:30:04Z
SDP3Z1CR2,-19.63982801,29.22193296,1334.101562,2024-04-24T08:43:06Z
SDP3Z1CR4,-19.63951503,29.22220001,1333.843872,2024-03-27T07:24:18Z
SDP3Z2CR1,-19.63951503,29.22220001,1333.843872,2024-03-27T07:24:18Z
SDP3Z2CR3,-19.63920398,29.22204796,1333.69397,2024-04-24T09:42:27Z
SDP3Z2CR4,-19.63921797,29.22224401,1332.097168,2024-03-27T07:33:59Z
SDP3Z3CR1,-19.63982801,29.22193296,1334.101562,2024-04-24T08:43:06Z
SDP3Z3CR2,-19.63977302,29.22173096,1334.363037,2024-04-24T09:10:44Z
SDP3Z3CR3,-19.63954202,29.22180497,1334.655762,2024-03-27T07:52:43Z
SDP3Z4CR2,-19.63954202,29.22180497,1334.655762,2024-03-27T07:52:43Z
SDP3Z4CR3,-19.63923499,29.22187102,1334.589355,2024-04-24T09:26:17Z
SDP3Z4CR4,-19.63920398,29.22204796,1333.69397,2024-04-24T09:42:27Z
SDP3ZCENTER,-19.63951503,29.22199901,1334.300537,2024-04-24T11:11:48Z
SDP4ZCENTER,-19.63962601,29.22279898,1339.03418,2024-04-24T10:19:34Z
SDP4Z1CR1,-19.639913,29.22291004,1341.339722,2024-04-24T10:33:57Z
SDP4Z1CR2,-19.639899,29.22272304,1335.436768,2024-04-24T10:50:17Z
SDP4Z1CR4,-19.63965098,29.22299202,1341.563599,2024-04-24T11:17:50Z
SDP4Z2CR1,-19.63965098,29.22299202,1341.563599,2024-04-24T11:17:50Z
SDP4Z2CR3,-19.63930699,29.22285598,1342.868408,2024-04-24T10:39:07Z
SDP4Z2CR4,-19.63937799,29.22307097,1342.576172,2024-04-24T11:43:13Z
SDP4Z3CR1,-19.639899,29.22272304,1335.436768,2024-04-24T10:50:17Z
SDP4Z3CR2,-19.63985902,29.22254501,1335.653687,2024-03-27T08:37:33Z
SDP4Z3CR3,-19.63960103,29.22261902,1336.869873,2024-04-24T10:16:33Z
SDP4Z4CR2,-19.63960103,29.22261902,1336.869873,2024-04-24T10:16:33Z
SDP4Z4CR3,-19.63930003,29.22265699,1343.832031,2024-03-27T08:26:58Z
SDP4Z4CR4,-19.63930699,29.22285598,1342.868408,2024-04-24T10:39:07Z
SDP5Z1CR1,-19.63981996,29.22421301,1337.341675,2024-04-24T10:30:16Z
SDP5Z1CR2,-19.63980102,29.22398603,1341.244263,2024-04-25T06:43:53Z
SDP5Z1CR4,-19.63959298,29.22429096,1338.953979,2024-03-27T08:47:15Z
SDP5Z2CR1,-19.63959298,29.22429096,1338.953979,2024-03-27T08:47:15Z
SDP5Z2CR3,-19.63924102,29.22418904,1337.604736,2024-04-25T06:03:32Z
SDP5Z2CR4,-19.63931202,29.22437604,1338.408691,2024-04-25T06:24:50Z
SDP5Z3CR1,-19.63980102,29.22398603,1341.244263,2024-04-25T06:43:53Z
SDP5Z3CR2,-19.63976397,29.22383096,1341.988892,2024-04-25T06:28:07Z
SDP5Z3CR3,-19.63952601,29.22391796,1336.934937,2024-04-25T07:22:55Z
SDP5Z4CR2,-19.63952601,29.22391796,1336.934937,2024-04-25T07:22:55Z
SDP5Z4CR3,-19.63922401,29.22398997,1337.632812,2024-04-25T06:06:29Z
SDP5Z4CR4,-19.63924102,29.22418904,1337.604736,2024-04-25T06:03:32Z
SDP5ZCENTER,-19.63953598,29.22410798,1339.435669,2024-04-25T07:37:21Z
SEP1Z1CR1,-19.62733696,29.26153997,1321.437622,2024-04-25T06:32:34Z
SEP1Z1CR2,-19.62733101,29.26134702,1322.908813,2024-03-27T09:52:37Z
SEP1Z1CR4,-19.62705499,29.261531,1323.055542,2024-04-25T09:06:42Z
SEP1Z2CR1,-19.62705499,29.261531,1323.055542,2024-04-25T09:06:42Z
SEP1Z2CR3,-19.62678803,29.26133897,1321.400757,2024-04-25T08:33:43Z
SEP1Z2CR4,-19.62679197,29.26152597,1320.875488,2024-04-25T09:09:44Z
SEP1Z3CR1,-19.62733101,29.26134702,1322.908813,2024-03-27T09:52:37Z
SEP1Z3CR2,-19.62735004,29.26115097,1321.936279,2024-04-25T09:23:30Z
SEP1Z3CR3,-19.62707503,29.26116404,1320.793457,2024-04-25T09:19:40Z
SEP1Z4CR2,-19.62707503,29.26116404,1320.793457,2024-04-25T09:19:40Z
SEP1Z4CR3,-19.62678501,29.261157,1321.283813,2024-03-27T09:57:19Z
SEP1Z4CR4,-19.62678803,29.26133897,1321.400757,2024-04-25T08:33:43Z
SEP1ZCENTER,-19.62707402,29.26132598,1322.322144,2024-04-25T08:31:34Z
SEP2Z1CR1,-19.62766,29.26067303,1324.233521,2024-04-25T08:49:32Z
SEP2Z1CR2,-19.62769797,29.26044303,1324.933716,2024-04-25T09:01:48Z
SEP2Z1CR4,-19.62739899,29.26050397,1311.330688,2024-04-25T09:25:44Z
SEP2Z2CR1,-19.62739899,29.26050397,1311.330688,2024-04-25T09:25:44Z
SEP2Z2CR3,-19.62719103,29.26023801,1312.654907,2024-04-25T11:10:34Z
SEP2Z2CR4,-19.62714904,29.26043197,1311.255005,2024-04-25T09:36:12Z
SEP2Z3CR1,-19.62776232,29.26026419,1325.158203,2024-04-02T08:13:27Z
SEP2Z3CR2,-19.62769797,29.26044303,1324.933716,2024-04-25T09:01:48Z
SEP2Z3CR3,-19.62750301,29.26016802,1317.697266,2024-04-25T11:17:08Z
SEP2Z4CR2,-19.62750301,29.26016802,1317.697266,2024-04-25T11:17:08Z
SEP2Z4CR3,-19.62725398,29.26003198,1313.151001,2024-04-25T11:08:21Z
SEP2Z4CR4,-19.62719103,29.26023801,1312.654907,2024-04-25T11:10:34Z
SEP2ZCENTER,-19.62745104,29.26037002,1324.816406,2024-04-17T12:05:57Z
SEP3Z1CR1,-19.62797183,29.25963421,1322.280029,2024-04-17T08:08:56Z
SEP3Z1CR2,-19.62791383,29.25946312,1323.62854,2024-04-17T07:25:01Z
SEP3Z1CR4,-19.62774097,29.25973702,1328.070679,2024-04-25T11:04:48Z
SEP3Z2CR1,-19.627373,29.25962999,1326.609131,2024-04-25T10:12:30Z
SEP3Z2CR3,-19.62774097,29.25973702,1328.070679,2024-04-25T11:04:48Z
SEP3Z2CR4,-19.62745003,29.25981799,1323.93335,2024-04-25T10:07:08Z
SEP3Z3CR1,-19.62791383,29.25946312,1323.62854,2024-04-17T07:25:01Z
SEP3Z3CR2,-19.62778699,29.25926596,1323.480225,2024-04-25T10:50:00Z
SEP3Z3CR3,-19.62753997,29.259402,1321.559326,2024-04-25T10:32:11Z
SEP3Z4CR2,-19.62753997,29.259402,1321.559326,2024-04-25T10:32:11Z
SEP3Z4CR3,-19.627243,29.259475,1325.88855,2024-04-19T07:24:43Z
SEP3Z4CR4,-19.627373,29.25962999,1326.609131,2024-04-25T10:12:30Z
SEP3ZCENTER,-19.627631,29.25957098,1323.656982,2024-04-19T07:20:48Z
SEP4Z1CR1,-19.62773332,29.25845325,1325.052246,2024-04-16T08:30:51Z
SEP4Z1CR2,-19.627732,29.25825703,1328.929443,2024-04-19T08:09:17Z
SEP4Z1CR4,-19.62747904,29.25857001,1331.062256,2024-04-19T08:11:43Z
SEP4Z2CR1,-19.62722003,29.258525,1327.428345,2024-04-19T08:12:39Z
SEP4Z2CR3,-19.62747904,29.25857001,1331.062256,2024-04-19T08:11:43Z
SEP4Z2CR4,-19.62723898,29.258697,1315.206055,2024-04-19T07:56:11Z
SEP4Z3CR1,-19.627732,29.25825703,1328.929443,2024-04-19T08:09:17Z
SEP4Z3CR2,-19.62765698,29.25805796,1330.406372,2024-04-19T06:39:34Z
SEP4Z3CR3,-19.62742598,29.25817396,1330.54248,2024-04-19T07:32:03Z
SEP4Z4CR2,-19.62742598,29.25817396,1330.54248,2024-04-19T07:32:03Z
SEP4Z4CR3,-19.62716999,29.25827396,1327.54541,2024-04-19T07:06:10Z
SEP4Z4CR4,-19.62722003,29.258525,1327.428345,2024-04-19T08:12:39Z
SEP4ZCENTER,-19.62748004,29.25838502,1331.53418,2024-04-17T12:05:57Z
SEP5Z1CR1,-19.626998,29.26225796,1328.001709,2024-04-17T11:48:58Z
SEP5Z1CR2,-19.62702901,29.26206501,1327.145752,2024-04-17T13:10:03Z
SEP5Z1CR4,-19.62671301,29.26231203,1326.345947,2024-04-17T11:53:21Z
SEP5Z2CR1,-19.62671301,29.26231203,1326.345947,2024-04-17T11:53:21Z
SEP5Z2CR3,-19.62644496,29.26213098,1316.611328,2024-04-17T12:29:21Z
SEP5Z2CR4,-19.62644102,29.26236902,1326.368164,2024-04-02T08:07:06Z
SEP5Z3CR1,-19.62702901,29.26206501,1327.145752,2024-04-17T13:10:03Z
SEP5Z3CR2,-19.62703102,29.26185697,1326.564941,2024-04-02T08:13:27Z
SEP5Z3CR3,-19.62671796,29.26192302,1329.202271,2024-04-17T12:37:52Z
SEP5Z4CR2,-19.62671796,29.26192302,1329.202271,2024-04-17T12:37:52Z
SEP5Z4CR3,-19.62648,29.26195303,1317.09668,2024-04-17T12:13:34Z
SEP5Z4CR4,-19.62644496,29.26213098,1316.611328,2024-04-17T12:29:21Z
SEP5ZCENTER,-19.62674403,29.262106,1328.342651,2024-04-02T09:27:55Z
SFP1Z1CR1,-19.52967009,29.18475033,1279.18689,2024-04-03T08:30:21Z
SFP1Z1CR2,-19.52966206,29.18507656,1286.624023,2024-04-03T08:44:51Z
SFP1Z1CR4,-19.52983598,29.18482804,1295.1521,2024-04-17T09:32:41Z
SFP1Z2CR1,-19.52983598,29.18482804,1295.1521,2024-04-17T09:32:41Z
SFP1Z2CR3,-19.53004897,29.18513004,1301.907715,2024-04-17T09:27:19Z
SFP1Z2CR4,-19.53007461,29.18484022,1290.806396,2024-04-03T08:31:40Z
SFP1Z3CR2,-19.52966206,29.18507656,1286.624023,2024-04-03T08:44:51Z
SFP1Z3CR3,-19.52972802,29.18534797,1306.216675,2024-04-17T07:25:01Z
SFP1Z3CR4,-19.52989801,29.18537403,1305.94873,2024-04-17T07:17:17Z
SFP1Z4CR1,-19.53004897,29.18513004,1301.907715,2024-04-17T09:27:19Z
SFP1Z4CR3,-19.52989801,29.18537403,1305.94873,2024-04-17T07:17:17Z
SFP1Z4CR4,-19.53008601,29.185354,1307.068726,2024-04-17T07:58:32Z
SFP1ZCENTER,-19.5298825,29.18510556,1301.453,2024-04-17T10:16:46Z
SFP2Z1CR1,-19.53058599,29.18476601,1299.096558,2024-04-17T09:44:59Z
SFP2Z1CR2,-19.53035801,29.18476601,1283.034302,2024-04-17T10:07:14Z
SFP2Z1CR3,-19.53040796,29.18505804,1284.229614,2024-04-02T10:08:13Z
SFP2Z2CR2,-19.53058599,29.18476601,1299.096558,2024-04-17T09:44:59Z
SFP2Z2CR3,-19.53074601,29.18478202,1289.577393,2024-04-16T10:18:31Z
SFP2Z2CR4,-19.53083603,29.18502199,1297.177856,2024-04-02T10:11:05Z
SFP2Z3CR4,-19.53040796,29.18505804,1284.229614,2024-04-02T10:08:13Z
SFP2Z3CR3,-19.53046001,29.18534302,1303.235962,2024-04-16T13:16:41Z
SFP2Z3CR2,-19.53067099,29.18534797,1302.646606,2024-04-16T10:45:47Z
SFP2Z4CR1,-19.53083603,29.18502199,1297.177856,2024-04-02T10:11:05Z
SFP2Z4CR3,-19.53067099,29.18534797,1302.646606,2024-04-16T10:45:47Z
SFP2Z4CR4,-19.53082002,29.18537303,1302.500244,2024-04-16T08:55:35Z
SFP2ZCENTER,-19.53063428,29.18506315,1302.765,2024-04-16T11:17:37Z
