I.D.code,Latitude,Longitude,Elevation,Date,Time,,,,,,
SAP4Z4Q2,-19.681848,29.313332,1348.437988,2024-04-20T09:52:05Z,NA,,,,,,
SAP4Z4Q3,-19.68202,29.31335899,1348.540527,2024-04-20T10:02:12Z,NA,,,,,,
SAP4Z4Q4,-19.68202201,29.31323402,1349.693115,2024-04-20T10:03:41Z,NA,,,,,,
SAP4Z4Q5,-19.68195202,29.31330702,1348.590576,2024-04-20T09:58:57Z,NA,,,,,,
SAP5Z1Q1,-19.68210398,29.31434898,1340.372559,2024-04-18T08:19:50Z,NA,,,,,,
SAP5Z1Q2,-19.68209602,29.31446498,1339.897949,2024-04-18T08:08:54Z,NA,,,,,,
SAP5Z1Q3,-19.68229702,29.31449097,1342.774536,2024-04-18T08:36:27Z,NA,,,,,,
SAP5Z1Q4,-19.68230297,29.31434504,1341.61084,2024-04-18T08:23:34Z,NA,,,,,,
SAP5Z1Q5,-19.68220498,29.31443699,1343.873535,2024-04-18T08:44:00Z,NA,,,,,,
SAP5Z2Q1,-19.68238503,29.31429399,1339.385254,2024-04-18T11:45:57Z,NA,,,,,,
SAP5Z2Q2,-19.68238302,29.31447898,1340.993652,2024-04-18T10:56:12Z,NA,,,,,,
SAP5Z2Q3,-19.68259198,29.31446004,1340.073242,2024-04-18T11:24:10Z,NA,,,,,,
SAP5Z2Q4,-19.68257999,29.31429701,1339.269897,2024-04-18T11:31:34Z,NA,,,,,,
SAP5Z2Q5,-19.68250598,29.31434898,1338.536011,2024-04-18T11:39:11Z,NA,,,,,,
SAP5Z3Q1,-19.68210298,29.31455299,1340.366333,2024-04-18T08:12:13Z,NA,,,,,,
SAP5Z3Q2,-19.68209996,29.31467797,1344.994629,2024-04-18T08:56:26Z,NA,,,,,,
SAP5Z3Q3,-19.68232702,29.31469699,1344.543457,2024-04-18T08:50:02Z,NA,,,,,,
SAP5Z3Q4,-19.68232803,29.31453698,1343.740601,2024-04-18T08:38:08Z,NA,,,,,,
