Site,Plot,Subplot,Quadrat,Date_observed,Spp_name,Grazing_value,DPM Height,
A,4,Z4,Q4,2024-04-22,Heteropogon contortus,Moderate,19.9,
A,4,Z4,Q4,2024-04-22,Digitaria eriantha,High,19.5,
A,4,Z4,Q4,2024-04-22,,,19.2,
A,4,Z4,Q5,2024-04-22,Heteropogon contortus,Moderate,25.7,
A,4,Z4,Q5,2024-04-22,Themeda triandra,High,17.1,
A,4,Z4,Q5,2024-04-22,Eragrostis superba,Moderate,17.8,
A,4,Z4,Q5,2024-04-22,Digitaria eriantha,High,22.1,
A,5,Z1,Q1,2024-04-18,Hyperrhenia hirta,Moderate,12.1,
A,5,Z1,Q1,2024-04-18,Urochloa mosambicensis,Moderate,13.8,
A,5,Z1,Q1,2024-04-18,Hyperrhenia filipendula,Moderate,13.7,
A,5,Z1,Q1,2024-04-18,Bothriochloa insculpta,Moderate,14.2,
A,5,Z1,Q1,2024-04-18,Heteropogon contortus,Moderate,,
A,5,Z1,Q1,2024-04-18,Aristida adscensionis,Low,,
A,5,Z1,Q2,2024-04-18,Urochloa mosambicensis,Moderate,25.6,
A,5,Z1,Q2,2024-04-18,Aristida adscensionis,Low,20.8,
A,5,Z1,Q2,2024-04-18,,,22.3,
A,5,Z1,Q2,2024-04-18,,,22.7,
A,5,Z1,Q3,2024-04-18,Cymbopogon excavatus,Low,28.2,
A,5,Z1,Q3,2024-04-18,Bothriochloa insculpta,Moderate,28.8,
A,5,Z1,Q3,2024-04-18,Urochloa mosambicensis,Moderate,31.2,
A,5,Z1,Q3,2024-04-18,,,28.8,
A,5,Z1,Q4,2024-04-18,Hyperrhenia hirta,Moderate,21,
A,5,Z1,Q4,2024-04-18,Heteropogon contortus,Moderate,17.1,
A,5,Z1,Q4,2024-04-18,Urochloa mosambicensis,Moderate,21.7,
A,5,Z1,Q4,2024-04-18,,,23,
A,5,Z1,Q5,2024-04-18,Urochloa mosambicensis,Moderate,17.1,
A,5,Z1,Q5,2024-04-18,Hyperrhenia filipendula,Moderate,14.7,
A,5,Z1,Q5,2024-04-18,Bothriochloa insculpta,Moderate,21.1,
A,5,Z1,Q5,2024-04-18,,,21.4,
A,5,Z2,Q1,2024-04-18,Urochloa mosambicensis,Moderate,22.6,
A,5,Z2,Q1,2024-04-18,Heteropogon contortus,Moderate,16.8,
A,5,Z2,Q1,2024-04-18,Aristida adscensionis,Low,14.9,
A,5,Z2,Q1,2024-04-18,Setaria sphacelata ,High,13.6,
A,5,Z2,Q2,2024-04-18,Urochloa mosambicensis,Moderate,10.6,
A,5,Z2,Q2,2024-04-18,Bothriochloa insculpta,Moderate,14.8,
A,5,Z2,Q2,2024-04-18,Heteropogon contortus,Moderate,17,
A,5,Z2,Q2,2024-04-18,Aristida adscensionis,Low,19.8,
A,5,Z2,Q2,2024-04-18,Melinis repens ,Low,,
A,5,Z2,Q3,2024-04-18,Panicum maximum,High,10.8,
A,5,Z2,Q3,2024-04-18,Hyperrhenia filipendula,Moderate,9.2,
A,5,Z2,Q3,2024-04-18,,,11.4,
A,5,Z2,Q3,2024-04-18,,,10.3,
A,5,Z2,Q4,2024-04-18,Heteropogon contortus,Moderate,17.7,
A,5,Z2,Q4,2024-04-18,Hyperrhenia filipendula,Moderate,17.5,
A,5,Z2,Q4,2024-04-18,Cymbopogon excavatus,Low,17.4,
A,5,Z2,Q4,2024-04-18,,,16.4,
A,5,Z2,Q5,2024-04-18,Urochloa mosambicensis,Moderate,15.1,
A,5,Z2,Q5,2024-04-18,Cymbopogon excavatus,Low,17.3,
A,5,Z2,Q5,2024-04-18,,,20.1,
A,5,Z2,Q5,2024-04-18,,,22.7,
A,5,Z3,Q1,2024-04-18,Bothriochloa insculpta,Moderate,29.8,
A,5,Z3,Q1,2024-04-18,Urochloa mosambicensis,Moderate,26.7,
A,5,Z3,Q1,2024-04-18,,,22.3,
A,5,Z3,Q1,2024-04-18,,,22.3,
A,5,Z3,Q2,2024-04-18,Bothriochloa insculpta,Moderate,36.3,
A,5,Z3,Q2,2024-04-18,Heteropogon contortus,Moderate,34.5,
A,5,Z3,Q2,2024-04-18,Eragrostis gummiflua,Low,34.2,
A,5,Z3,Q2,2024-04-18,Andropogon eucomus,Low,34.5,
A,5,Z3,Q3,2024-04-18,Aristida adscensionis,Low,20.4,
A,5,Z3,Q3,2024-04-18,Bothriochloa insculpta,Moderate,17.1,
A,5,Z3,Q3,2024-04-18,,,19.3,
A,5,Z3,Q3,2024-04-18,,,18.6,
A,5,Z3,Q4,2024-04-18,Bothriochloa insculpta,Moderate,17.1,
