I.D_code,Latitude,Longitude,Elevation,Date,Time
SAP4Z1CR0,-19.68184104,29.31337802,1345.68811,2024-03-25T08:19:01Z,
SAP4Z1CR1,-19.68152102,29.31301902,1346.617188,2024-04-20T09:21:16Z,
SAP4Z1CR2,-19.68155002,29.31319303,1345.991821,2024-04-20T09:24:43Z,
SAP4Z1CR3,-19.68179201,29.31302296,1348.026489,2024-04-20T09:30:34Z,
SAP4Z1Q1,-19.68154902,29.31305104,1346.33667,2024-04-20T09:22:04Z,
SAP4Z1Q2,-19.68156796,29.31313997,1345.938599,2024-04-20T09:26:17Z,
SAP4Z1Q3,-19.68180399,29.31318004,1346.991089,2024-04-20T09:41:00Z,
SAP4Z1Q4,-19.68178103,29.31306898,1347.703491,2024-04-20T09:31:45Z,
SAP4Z1Q5,-19.68165798,29.31308499,1347.244385,2024-04-20T09:36:14Z,
SAP4Z2CR0,-19.68181699,29.31301801,1345.368408,2024-03-25T08:56:13Z,
SAP4Z2CR0,-19.68206098,29.31303302,1347.609375,2024-03-25T08:49:06Z,
SAP4Z2CR4,-19.68204296,29.31303302,1349.771973,2024-04-20T10:06:38Z,
SAP4Z2Q1,-19.68182998,29.313059,1348.658447,2024-04-20T10:11:03Z,
SAP4Z2Q2,-19.68187097,29.31316503,1348.907593,2024-04-20T09:43:33Z,
SAP4Z2Q3,-19.68201203,29.31319102,1349.554443,2024-04-20T10:04:30Z,
SAP4Z2Q4,-19.68200902,29.31307501,1349.647339,2024-04-20T10:07:21Z,
SAP4Z2Q5,-19.68192402,29.31313201,1348.910767,2024-04-20T10:08:17Z,
SAP4Z3CR0,-19.68209803,29.31334399,1345.874634,2024-03-25T08:25:08Z,
SAP4Z3CR2,-19.68155597,29.31338103,1346.459473,2024-04-20T09:56:01Z,
SAP4Z3CR3,-19.68185403,29.31338497,1347.923218,2024-04-20T09:49:43Z,
SAP4Z3Q1,-19.68158204,29.31320703,1345.712402,2024-04-20T09:27:09Z,
SAP4Z3Q2,-19.68159101,29.31335798,1347.417847,2024-04-20T09:57:32Z,
SAP4Z3Q3,-19.68178597,29.31333804,1348.267944,2024-04-20T09:51:26Z,
SAP4Z3Q4,-19.68183702,29.31324097,1347.804443,2024-04-20T09:47:58Z,
SAP4Z3Q5,-19.68169302,29.31329596,1347.307983,2024-04-20T09:54:14Z,
