Site,Plot,Subplot,Quadrat,Spp_name,Rank_dominant_grass,Grazing_value,DPM_Height,Grazing_activity,Quadrat_under_canopy,Dung_presence
A,2,Z2,Q1,Hyperrhenia filipendula,1,Moderate,NA,NA,NA,NA
A,2,Z2,Q2,Hyperrhenia filipendula,1,Moderate,NA,N,Y,N
A,2,Z2,Q2,NA,NA,NA,NA,NA,NA,NA
A,2,Z2,Q2,NA,NA,NA,NA,NA,NA,NA
A,2,Z2,Q2,NA,NA,NA,25.5,NA,NA,NA
A,2,Z2,Q3,Heteropogon contortus,3,Moderate,23.3,N,N,N
A,2,Z2,Q3,Hyperrhenia filipendula,1,Moderate,18.8,NA,NA,NA
A,2,Z2,Q3,Urochloa mosambicensis,2,Moderate,23.7,NA,NA,NA
A,2,Z2,Q3,NA,NA,NA,NA,NA,NA,NA
A,2,Z2,Q4,Heteropogon contortus,1,Moderate,14.1,NA,NA,NA
A,2,Z2,Q4,Hyperrhenia filipendula,2,Moderate,20.5,NA,NA,NA
A,2,Z2,Q4,NA,NA,NA,15.5,NA,NA,NA
A,2,Z2,Q4,NA,NA,NA,13.9,NA,NA,NA
A,2,Z2,Q5,Hyperrhenia filipendula,1,Moderate,11.8,N,Y,N
A,2,Z2,Q5,Urochloa mosambicensis,2,Moderate,17.9,NA,NA,NA
A,2,Z2,Q5,NA,NA,NA,23.4,NA,NA,NA
A,2,Z2,Q5,NA,NA,NA,22.1,NA,NA,NA
A,2,Z3,Q1,Bothriochloa insculpta,1,Moderate,21.1,N,Y,N
A,2,Z3,Q1,Eragrostis gummiflua,3,Low,22.1,NA,NA,NA
A,2,Z3,Q1,Hyperrhenia filipendula,2,Moderate,23.6,NA,NA,NA
A,2,Z3,Q1,NA,NA,NA,22.3,NA,NA,NA
A,2,Z3,Q2,Heteropogon contortus,2,Moderate,13.7,N,N,N
A,2,Z3,Q2,Bothriochloa insculpta,1,Moderate,10.5,NA,NA,NA
A,2,Z3,Q2,NA,NA,NA,10.3,NA,NA,NA
A,2,Z3,Q2,NA,NA,NA,10.7,NA,NA,NA
A,2,Z3,Q3,Bothriochloa insculpta,2,Moderate,NA,N,Y,N
A,2,Z3,Q3,Eragrostis gummiflua,3,Low,NA,NA,NA,NA
A,2,Z3,Q3,Urochloa mosambicensis,1,Moderate,NA,NA,NA,NA
A,2,Z3,Q3,NA,NA,NA,NA,NA,NA,NA
A,2,Z3,Q4,Bothriochloa insculpta,1,Moderate,23.4,N,N,N
A,2,Z3,Q4,Urochloa mosambicensis,2,Moderate,23.8,NA,NA,NA
A,2,Z3,Q4,Heteropogon contortus,3,Moderate,22.7,NA,NA,NA
A,2,Z3,Q4,NA,NA,NA,23.7,NA,NA,NA
A,2,Z3,Q5,Eragrostis gummiflua,NA,Low,10.2,N,N,N
A,2,Z3,Q5,Bothriochloa insculpta,1,Moderate,13.9,NA,NA,NA
A,2,Z3,Q5,Cymbopogon excavatus,2,Low,11,NA,NA,NA
A,2,Z3,Q5,Eragrostis superba,3,Moderate,10.9,NA,NA,NA
A,2,Z4,Q1,Aristida adscensionis,3,Low,12.5,N,N,N
A,2,Z4,Q1,Hyperrhenia filipendula,1,Moderate,12.3,NA,NA,NA
A,2,Z4,Q1,Setaria pumila ,2,Moderate,17,NA,NA,NA
A,2,Z4,Q1,NA,NA,NA,16.3,NA,NA,NA
A,2,Z4,Q2,Hyperrhenia filipendula,1,Moderate,17.2,N,N,N
A,2,Z4,Q2,Urochloa mosambicensis,2,Moderate,9.6,NA,NA,NA
A,2,Z4,Q2,NA,NA,NA,NA,NA,NA,NA
A,2,Z4,Q2,NA,NA,NA,NA,NA,NA,NA
A,2,Z4,Q3,Heteropogon contortus,1,Moderate,13.1,N,Y,N
A,2,Z4,Q3,Cymbopogon excavatus,2,Low,16.9,NA,NA,NA
A,2,Z4,Q3,Urochloa mosambicensis,NA,Moderate,18.2,NA,NA,NA
A,2,Z4,Q3,Hyperrhenia filipendula,3,Moderate,21.2,NA,NA,NA
A,2,Z4,Q4,Urochloa mosambicensis,2,Moderate,NA,N,N,N
A,2,Z4,Q4,Hyperrhenia filipendula,1,Moderate,NA,NA,NA,NA
A,2,Z4,Q4,NA,NA,NA,NA,NA,NA,NA
A,2,Z4,Q4,NA,NA,NA,NA,NA,NA,NA
A,2,Z4,Q5,Urochloa mosambicensis,2,Moderate,NA,N,Y,N
A,2,Z4,Q5,Hyperrhenia filipendula,1,Moderate,NA,NA,NA,NA
A,2,Z4,Q5,NA,NA,NA,NA,NA,NA,NA
A,2,Z4,Q5,NA,NA,NA,NA,NA,NA,NA
A,3,Z1,Q1,Aristida diffusa,2,Low,NA,N,N,N
A,3,Z1,Q1,Aristida congesta C,NA,Low,NA,NA,NA,NA
A,3,Z1,Q1,Melinis repens,3,Low,22,NA,NA,NA
A,3,Z1,Q1,Urochloa mosambicensis,1,Moderate,23.9,NA,NA,NA
A,3,Z1,Q2,Hyperrhenia filipendula,1,Moderate,11.8,N,Y,N
A,3,Z1,Q2,NA,NA,NA,17.1,NA,NA,NA
A,3,Z1,Q2,NA,NA,NA,15.3,NA,NA,NA
A,3,Z1,Q2,NA,NA,NA,15.7,NA,NA,NA
A,3,Z1,Q3,Bothriochloa insculpta,1,Moderate,15.4,N,N,N
A,3,Z1,Q3,Urochloa mosambicensis,2,Moderate,16.8,NA,NA,NA
A,3,Z1,Q3,Cymbopogon excavatus,3,Low,16.7,NA,NA,NA
A,3,Z1,Q3,NA,NA,NA,16.7,NA,NA,NA
A,3,Z1,Q4,Hyperrhenia filipendula,3,Moderate,21.9,N,N,N
A,3,Z1,Q4,Bothriochloa insculpta,1,Moderate,21.8,NA,NA,NA
A,3,Z1,Q4,Urochloa mosambicensis,2,Moderate,20.9,NA,NA,NA
A,3,Z1,Q4,NA,NA,NA,18.4,NA,NA,NA
A,3,Z1,Q5,Urochloa mosambicensis,NA,Moderate,17.6,N,Y,N
A,3,Z1,Q5,Hyperrhenia filipendula,3,Moderate,15.9,NA,NA,NA
A,3,Z1,Q5,Heteropogon contortus,1,Moderate,15.3,NA,NA,NA
A,3,Z1,Q5,Aristida adscensionis,2,Low,15.4,NA,NA,NA
A,3,Z2,Q1,Urochloa mosambicensis,2,Moderate,NA,N,Y,N
A,3,Z2,Q1,Loudetia simplex,3,Low,NA,NA,NA,NA
A,3,Z2,Q1,Bothriochloa insculpta,1,Moderate,NA,NA,NA,NA
A,3,Z2,Q1,NA,NA,NA,25.3,NA,NA,NA
A,3,Z2,Q2,Bothriochloa insculpta,2,Moderate,3.6,N,Y,N
A,3,Z2,Q2,Cymbopogon excavatus,3,Low,11.2,NA,NA,NA
A,3,Z2,Q2,Aristida adscensionis,1,Low,12.5,NA,NA,NA
A,3,Z2,Q2,NA,NA,NA,12.7,NA,NA,NA
A,3,Z2,Q3,Bothriochloa insculpta,2,Moderate,NA,N,Y,N
A,3,Z2,Q3,Hyperrhenia hirta,1,Moderate,NA,NA,NA,NA
A,3,Z2,Q3,NA,NA,NA,NA,NA,NA,NA
A,3,Z2,Q3,NA,NA,NA,NA,NA,NA,NA
A,3,Z2,Q4,Bothriochloa insculpta,2,Moderate,5.9,N,Y,N
A,3,Z2,Q4,Hyperrhenia hirta,NA,Moderate,8.7,NA,NA,NA
A,3,Z2,Q4,Digitaria eriantha,1,High,12.6,NA,NA,NA
A,3,Z2,Q4,Eragrostis gummiflua,3,Low,12.7,NA,NA,NA
A,3,Z2,Q5,Urochloa mosambicensis,3,Moderate,11.8,N,N,N
A,3,Z2,Q5,Bothriochloa insculpta,1,Moderate,15.7,NA,NA,NA
A,3,Z2,Q5,Eragrostis gummiflua,2,Low,18.6,NA,NA,NA
A,3,Z2,Q5,NA,NA,NA,20.6,NA,NA,NA
A,3,Z3,Q1,Heteropogon contortus,2,Moderate,10.7,N,N,N
A,3,Z3,Q1,Aristida adscensionis,NA,Low,16.9,NA,NA,NA
A,3,Z3,Q1,Melinis repens,1,Low,13.6,NA,NA,NA
A,3,Z3,Q1,Eragrostis rigidior,3,Moderate,13.5,NA,NA,NA
A,3,Z3,Q2,Cynodon dactylon,1,High,NA,N,Y,N
A,3,Z3,Q2,Urochloa mosambicensis,2,Moderate,NA,NA,NA,NA
A,3,Z3,Q2,Setaria pumila ,3,Moderate,NA,NA,NA,NA
A,3,Z3,Q2,NA,NA,NA,25.9,NA,NA,NA
A,3,Z3,Q3,Heteropogon contortus,1,Moderate,NA,N,Y,N
A,3,Z3,Q3,Aristida adscensionis,2,Low,19.2,NA,NA,NA
A,3,Z3,Q3,Urochloa mosambicensis,NA,Moderate,17.8,NA,NA,NA
A,3,Z3,Q3,Cymbopogon excavatus,NA,Low,16.9,NA,NA,NA
A,3,Z3,Q3,Digitaria eriantha,3,High,NA,NA,NA,NA
A,3,Z3,Q4,Aristida adscensionis,1,Low,6.8,N,N,N
A,3,Z3,Q4,Urochloa mosambicensis,NA,Moderate,11.5,NA,NA,NA
A,3,Z3,Q4,Hyperrhenia filipendula,1,Moderate,17.8,NA,NA,NA
A,3,Z3,Q4,Setaria incrassata,3,High,14.2,NA,NA,NA
A,3,Z3,Q4,Eragrostis superba,NA,Moderate,NA,NA,NA,NA
A,3,Z3,Q5,Urochloa mosambicensis,2,Moderate,NA,N,Y,N
A,3,Z3,Q5,Hyperrhenia filipendula,NA,Moderate,19.9,NA,NA,NA
A,3,Z3,Q5,Hyperrhenia hirta,1,Moderate,18.7,NA,NA,NA
A,3,Z3,Q5,Pogonarthria squarrosa,3,Low,18.5,NA,NA,NA
A,3,Z4,Q1,Heteropogon contortus,1,Moderate,14.9,N,Y,N
A,3,Z4,Q1,Aristida adscensionis,2,Low,17.3,NA,NA,NA
A,3,Z4,Q1,NA,NA,NA,19.4,NA,NA,NA
A,3,Z4,Q1,NA,NA,NA,16.1,NA,NA,NA
A,3,Z4,Q2,Heteropogon contortus,2,Moderate,8.5,N,Y,N
