Site,Spp_name
C,Heteropogon contortus
C,Setaria incrassata
C,Heteropogon contortus
C,Melinis repens
C,Heteropogon contortus
C,Setaria incrassata
C,Heteropogon contortus
C,Digitaria eriantha
C,Heteropogon contortus
C,Eragrostis gummiflua
C,Panicum maximum
C,Panicum maximum
C,Eragrostis superba
C,Heteropogon contortus
C,Panicum maximum
C,Panicum maximum
C,Eragrostis rigidior
C,Eragrostis gummiflua
C,Panicum maximum
C,Panicum maximum
C,Panicum maximum
C,Panicum maximum
C,Digitaria eriantha
C,Heteropogon contortus
C,Eragrostis rigidior
C,Eragrostis rigidior
C,Panicum maximum
C,Panicum maximum
C,Eragrostis viscosa
C,Eragrostis gummiflua
C,Panicum maximum
C,Brachiaria brizantha
C,Eragrostis rigidior
C,Panicum maximum
C,Panicum maximum
C,Heteropogon contortus
C,Eragrostis rigidior
C,Pogonarthria squarrosa 
C,Heteropogon contortus
C,Digitaria eriantha
C,Brachiaria brizantha
C,Heteropogon contortus
C,Panicum maximum
C,Digitaria eriantha
C,Melinis repens
C,Heteropogon contortus
C,Heteropogon contortus
C,Panicum maximum
C,Digitaria eriantha
C,Pogonarthria squarrosa 
C,Brachiaria brizantha
C,Setaria incrassata
C,Digitaria eriantha
C,Pogonarthria squarrosa 
C,Brachiaria brizantha
C,Panicum maximum
C,Heteropogon contortus
C,Pogonarthria squarrosa 
C,Brachiaria brizantha
C,Heteropogon contortus
C,Pogonarthria squarrosa 
C,Setaria incrassata
C,Heteropogon contortus
C,Pogonarthria squarrosa 
C,Heteropogon contortus
C,Eragrostis rigidior
C,Pogonarthria squarrosa 
C,Eragrostis rigidior
C,Digitaria eriantha
C,Heteropogon contortus
C,Pogonarthria squarrosa 
C,Melinis repens
C,Cynodon dactylon
C,Hyperrhenia filipendula
C,Pogonarthria squarrosa 
C,Heteropogon contortus
C,Hyperrhenia filipendula
C,Melinis repens
C,Eragrostis rigidior
C,Digitaria eriantha
C,Brachiaria brizantha
C,Pogonarthria squarrosa 
C,Eragrostis rigidior
C,Digitaria eriantha
C,Heteropogon contortus
C,Digitaria eriantha
C,Brachiaria brizantha
C,Eragrostis rigidior
C,Digitaria eriantha
C,Brachiaria brizantha
C,Pogonarthria squarrosa 
C,Eragrostis gummiflua
C,Heteropogon contortus
C,Eragrostis rigidior
C,Pogonarthria squarrosa 
C,Heteropogon contortus
C,Panicum maximum
C,Eragrostis rigidior
C,Digitaria eriantha
C,Pogonarthria squarrosa 
C,Heteropogon contortus
C,Heteropogon contortus
C,Panicum maximum
C,Digitaria eriantha
C,Heteropogon contortus
C,Aristida congesta C
C,Pogonarthria squarrosa 
C,Heteropogon contortus
C,Panicum maximum
C,Digitaria eriantha
C,Eragrostis gummiflua
C,Eragrostis superba
C,Heteropogon contortus
C,Digitaria eriantha
C,Eragrostis rigidior
C,Setaria incrassata
C,Pogonarthria squarrosa 
C,Heteropogon contortus
C,Panicum maximum
C,Aristida congesta B
C,Pogonarthria squarrosa 
C,Heteropogon contortus
C,Heteropogon contortus
C,Eragrostis gummiflua
C,Digitaria eriantha
C,Eragrostis rigidior
C,Heteropogon contortus
C,Eragrostis gummiflua
C,Pogonarthria squarrosa 
C,Panicum maximum
C,Heteropogon contortus
C,Melinis repens
C,Aristida adscensionis
C,Panicum maximum
C,Digitaria eriantha
C,Eragrostis gummiflua
C,Heteropogon contortus
C,Panicum maximum
C,Hyperrhenia filipendula
C,Eragrostis gummiflua
C,Pogonarthria squarrosa 
C,Panicum maximum
C,Heteropogon contortus
C,Aristida adscensionis
C,Eragrostis superba
C,Setaria incrassata
C,Hyperrhenia filipendula
C,Eragrostis gummiflua
C,Heteropogon contortus
C,Aristida adscensionis
C,Heteropogon contortus
C,Aristida adscensionis
C,Aristida adscensionis
C,Brachiaria brizantha
C,Chloris virgata
C,Eragrostis gummiflua
C,Digitaria eriantha
C,Digitaria eriantha
C,Heteropogon contortus
C,Pogonarthria squarrosa 
C,Heteropogon contortus
C,Digitaria eriantha
C,Eragrostis rigidior
C,Pogonarthria squarrosa 
C,Digitaria eriantha
C,Panicum maximum
C,Melinis repens
C,Heteropogon contortus
C,Heteropogon contortus
C,Brachiaria brizantha
C,Pogonarthria squarrosa 
C,Perotis patens
C,Digitaria eriantha
C,Heteropogon contortus
C,Pogonarthria squarrosa 
C,Diheteropogon amplectens
C,Perotis patens
C,Panicum maximum
C,Digitaria eriantha
C,Eragrostis gummiflua
C,Panicum maximum
C,Heteropogon contortus
C,Aristida adscensionis
C,Digitaria eriantha
C,Eragrostis gummiflua
C,Aristida adscensionis
C,Digitaria eriantha
C,Eragrostis viscosa
C,Brachiaria brizantha
C,Pogonarthria squarrosa 
C,Panicum maximum
C,Digitaria eriantha
C,Panicum maximum
C,Eragrostis gummiflua
C,Pogonarthria squarrosa 
C,Eragrostis superba
C,Digitaria eriantha
C,Heteropogon contortus
C,Eragrostis rigidior
C,Eragrostis gummiflua
C,Digitaria eriantha
C,Heteropogon contortus
C,Brachiaria brizantha
C,Panicum maximum
C,Heteropogon contortus
C,Pogonarthria squarrosa 
C,Aristida adscensionis
C,Brachiaria brizantha
D,Brachiaria nigropedata
D,Eragrostis rigidior
