Site,Spp_name,Max_Height,Stem_count
A,Peltophorum Africanum,0.6,2
A,Gymnosporia Senegalensis,2.4,2
A,Ziziphus Mucronata,1.4,1
A,Vachellia Karroo,1.7,1
A,Vachellia Gerrardii,1.7,1
A,Combretum Hereroense,1.1,1
A,Euclea Divinorum,0.4,2
A,Combretum Apiculatum,0.25,1
A,Vachellia Nilotica,2.1,1
A,Fluegga Virosa,2.2,5
A,Dovyalis Caffra,0.4,1
A,Dichrostachys Cinerea,1.1,3
A,Dichrostachys Cinerea,1.6,2
A,Berchemia Zeyheri,2.3,2
A,Berchemia Zeyheri,1.7,1
A,Berchemia Zeyheri,0.6,2
A,Ziziphus Mucronata,2.2,1
A,Euclea Divinorum,1.5,2
A,Grewia Decomovulata,1.2,1
A,Grewia Decomovulata,3,1
A,Peltophorum Africanum,0.3,1
A,Ziziphus Mucronata,1.8,1
A,Fluegga Virosa,2,7
A,Euclea Divinorum,1.8,3
A,Gymnosporia Senegalensis,1.9,1
A,Euclea Divinorum,1.8,1
A,Vachellia Nilotica,3.2,1
A,Gymnosporia Senegalensis,3,1
A,Vachellia Nilotica,5,1
A,Vachellia Nilotica,3,2
A,Carissa Bispinosa,1.8,3
A,Vachellia Gerrardii,1.8,7
A,Allophylus Africanus,2.3,4
A,Dichrostachys Cinerea,4.5,6
A,Allophylus Africanus,1.1,2
A,Dichrostachys Cinerea,1.3,3
A,Vachellia Karroo,1.2,1
A,Vachellia Gerrardii,3.1,1
A,Ziziphus Mucronata,1.9,1
A,Vachellia Nilotica,1.5,1
A,Ziziphus Mucronata,2.3,1
A,Vachellia Gerrardii,1.3,1
A,Carissa Bispinosa,1.3,2
A,Vachellia Karroo,0.2,1
A,Ziziphus Mucronata,0.7,1
A,Carissa Bispinosa,0.65,1
A,Dichrostachys Cinerea,1.2,1
A,Ziziphus Mucronata,1.7,1
A,Vachellia Gerrardii,2.4,1
A,Dichrostachys Cinerea,0.4,2
A,Vachellia Nilotica,0.4,1
A,Gymnosporia Senegalensis,0.8,3
A,Euclea Divinorum,1.7,3
A,Dichrostachys Cinerea,1.2,4
A,Bolusanthus Speciosus,3,11
A,Euclea Divinorum,2.2,1
A,Fluegga Virosa,1.3,4
A,Allophylus Africanus,1.7,2
A,Ziziphus Mucronata,2.3,2
A,Rhus Leptodictya,2.1,1
A,Berchemia Zeyheri,1,1
A,Lippia Javanica,1,6
A,Vachellia Karroo,1,1
A,Combretum Zeyheri,1.2,4
A,Euclea Divinorum,2.3,1
A,Carissa Bispinosa,2.4,5
A,Euclea Divinorum,3,1
A,Vachellia Karroo,2.5,1
A,Ziziphus Mucronata,0.9,1
A,Dichrostachys Cinerea,0.7,2
A,Peltophorum Africanum,0.8,1
A,Combretum Hereroense,1.6,3
A,Ozoroa Insignis,1,1
A,Vachellia Nilotica,1.6,1
A,Carissa Bispinosa,1.4,1
A,Gardenia Spathulifolia,0.5,1
A,Carissa Bispinosa,1,2
A,Dovyalis Caffra,2.2,2
A,Carissa Bispinosa,1.6,3
A,Dichrostachys Cinerea,1.7,3
A,Lantana Rugosa,0.6,3
A,Vachellia Gerrardii,3,2
A,Combretum Imberbe,1.2,1
A,Vachellia Gerrardii,1.6,1
A,Warburgia Salutaris,2.1,1
A,Vachellia Gerrardii,0.3,1
A,Dichrostachys Cinerea,1.5,4
A,Vachellia Karroo,0.5,3
A,Grewia Monticola,2.1,1
A,Gardenia Spathulifolia,0.7,1
A,Dichrostachys Cinerea,2,4
A,Dichrostachys Cinerea,3,5
A,Carissa Bispinosa,2.3,3
A,Ziziphus Mucronata,1.2,1
A,Berchemia Zeyheri,1.5,4
A,Warburgia Salutaris,3,1
A,Ziziphus Mucronata,3,4
A,Zanthoxylum Capense,0.7,2
A,Dichrostachys Cinerea,0.7,1
A,Vachellia Gerrardii,1.8,1
A,Dichrostachys Cinerea,0.8,1
A,Ziziphus Mucronata,1.7,2
A,Euclea Divinorum,0.8,1
A,Euclea Divinorum,2.5,2
A,Vachellia Gerrardii,1,3
A,Carissa Bispinosa,0.6,2
A,Dichrostachys Cinerea,3.7,4
A,Rhus Leptodictya,1.7,4
A,Vachellia Karroo,1.1,1
A,Rhus Leptodictya,4,8
A,Dichrostachys Cinerea,1,10
A,Combretum Imberbe,3.5,2
A,Berchemia Zeyheri,10,1
