I.D code,Latitude,Longitude,Elevation,Date,Time
A5Z2CR1,-19.682352,29.314296,1339.790771,2024-04-18T11:44:59Z,
A5Z2CR4,-19.68260396,29.31424798,1339.525635,2024-04-18T11:30:06Z,
A5Z2Q1,-19.68238503,29.31429399,1339.385254,2024-04-18T11:45:57Z,
A5Z2Q2,-19.68238302,29.31447898,1340.993652,2024-04-18T10:56:12Z,
A5Z2Q3,-19.68259198,29.31446004,1340.073242,2024-04-18T11:24:10Z,
A5Z2Q4,-19.68257999,29.31429701,1339.269897,2024-04-18T11:31:34Z,
A5Z2Q5,-19.68250598,29.31434898,1338.536011,2024-04-18T11:39:11Z,
A5Z31,-19.68233298,29.31431402,1343.80188,2024-03-25T10:25:31Z,
A5Z3CR2,-19.68208102,29.31473496,1345.634644,2024-04-18T08:54:45Z,
A5Z3CR3,-19.682351,29.31473798,1344.46106,2024-04-18T08:49:12Z,
A5Z3Q1,-19.68210298,29.31455299,1340.366333,2024-04-18T08:12:13Z,
A5Z3Q2,-19.68209996,29.31467797,1344.994629,2024-04-18T08:56:26Z,
A5Z3Q3,-19.68232702,29.31469699,1344.543457,2024-04-18T08:50:02Z,
A5Z3Q4,-19.68232803,29.31453698,1343.740601,2024-04-18T08:38:08Z,
A5Z3Q5,-19.68221596,29.31461602,1345.032959,2024-04-18T09:04:05Z,
A5Z41,-19.68263104,29.31431998,1344.317871,2024-03-25T10:30:26Z,
A5Z4CR2,-19.68236399,29.314726,1343.942383,2024-04-18T10:42:11Z,
A5Z4CR3,-19.68264,29.31470898,1342.421387,2024-04-18T11:03:06Z,
A5Z4CR4,-19.68261796,29.31451804,1341.061157,2024-04-18T11:10:07Z,
A5Z4Q1,-19.68237698,29.31453497,1341.51416,2024-04-18T10:51:56Z,
A5Z4Q2,-19.68237698,29.31467604,1343.05127,2024-04-18T10:46:30Z,
A5Z4Q3,-19.68261997,29.31467503,1341.677124,2024-04-18T11:04:46Z,
A5Z4Q4,-19.68260799,29.31454503,1340.57251,2024-04-18T11:11:13Z,
A5Z4Q5,-19.68250296,29.31458803,1341.337891,2024-04-18T11:16:12Z,
A5ZCNT,-19.68234999,29.31450597,1343.178589,2024-04-18T08:37:19Z,
A5ZOO,-19.682381,29.31473496,1345.797974,2024-03-25T10:40:07Z,
A5ZOOO,-19.68211303,29.31474703,1345.977905,2024-03-25T10:42:32Z,
AEZ3CR1,-19.68155002,29.31384799,1334.704346,2024-04-19T12:55:08Z,
AZ000,-19.680986,29.31391496,1335.724365,2024-03-25T06:21:58Z,
AZ12,-19.68071996,29.31398101,1333.879761,2024-03-25T06:07:25Z,
AZ2,-19.68074301,29.31421302,1335.02832,2024-03-25T06:10:17Z,
B11,-19.661758,29.26974401,1318.266846,2024-03-21T09:54:51Z,
B1Q2,-19.71283598,29.32327797,1356.137329,2024-04-05T12:42:30Z,
B1Q3,-19.71271997,29.32304302,1353.634766,2024-04-05T12:51:31Z,
B1Q4,-19.71263397,29.32309801,1346.726929,2024-04-05T13:00:53Z,
B1Q5,-19.71278099,29.32315601,1344.532349,2024-04-05T13:08:55Z,
B1Z00,-19.71292298,29.32288896,1329.368286,2024-03-26T12:59:49Z,
B1Z11,-19.71271603,29.323342,1326.446289,2024-03-26T12:43:47Z,
B1Z12,-19.66167896,29.26945802,1318.769531,2024-03-21T10:10:16Z,
B1Z121,-19.71261696,29.32313204,1327.370361,2024-03-26T12:46:11Z,
B1Z13,-19.66147704,29.26950596,1319.603516,2024-03-21T10:22:12Z,
B1Z1Q1,-19.71282399,29.32338702,1366.789429,2024-04-05T12:29:51Z,
B1Z1Q11,-19.71221899,29.32254396,1345.207764,2024-04-07T10:45:21Z,
B1Z2,-19.71275702,29.32265997,1329.215332,2024-03-26T12:56:42Z,
B1Z22,-19.661383,29.26982598,1319.172363,2024-03-21T10:36:13Z,
B1Z24,-19.66156103,29.26982297,1319.31958,2024-03-21T10:41:39Z,
B1Z241,-19.71262098,29.32275401,1332.604248,2024-04-05T13:58:18Z,
B1Z2Q1,-19.71258402,29.32307102,1340.532104,2024-04-05T13:19:46Z,
B1Z2Q2,-19.71271402,29.32297002,1336.846069,2024-04-05T13:35:40Z,
B1Z2Q3,-19.71251604,29.32282601,1334.784302,2024-04-05T13:40:32Z,
B1Z2Q4,-19.71261604,29.32276701,1333.789429,2024-04-05T13:49:29Z,
B1Z2Q5,-19.71260003,29.32284898,1332.5354,2024-04-05T14:03:09Z,
B1Z30,-19.71248201,29.32289902,1328.049927,2024-03-26T12:48:24Z,
B1Z32,-19.66186504,29.26993604,1320.604492,2024-03-21T11:07:07Z,
B1Z3Q1,-19.71288702,29.32322399,1339.52002,2024-04-06T08:47:16Z,
B1Z3Q2,-19.71297797,29.32315601,1339.5177,2024-04-06T08:51:18Z,
B1Z3Q3,-19.71288702,29.32290698,1341.299805,2024-04-06T09:01:19Z,
B1Z3Q4,-19.71276398,29.32299399,1343.202026,2024-04-06T09:08:16Z,
B1Z3Q5,-19.71286297,29.32310304,1344.03833,2024-04-06T09:20:42Z,
B1Z4,-19.71307696,29.32320303,1330.612549,2024-03-26T13:06:25Z,
B1Z42,-19.66150898,29.27009001,1319.355835,2024-03-21T10:58:53Z,
B1Z43,-19.66166002,29.27003101,1319.964478,2024-03-21T11:03:43Z,
B1Z4Q1,-19.71272802,29.32298996,1339.705688,2024-04-07T08:23:37Z,
B1Z4Q2,-19.71287001,29.32290296,1340.247437,2024-04-07T08:36:57Z,
B1Z4Q3,-19.71273799,29.32266198,1340.322998,2024-04-07T08:49:45Z,
B1Z4Q4,-19.71261503,29.32274697,1340.735229,2024-04-07T08:12:02Z,
B1Z4Q5,-19.71275702,29.322823,1341.013062,2024-04-07T09:04:15Z,
B1ZO,-19.712869,29.32323203,1346.857056,2024-04-05T07:08:29Z,
