Year,Site,Plot,Subplot,Spp_name,Grazing_value,DPM_Height,Biomass,Treatment
2024,A,3,Z1,Urochloa mosambicensis,Moderate,17.6,4494,TFB
2024,A,3,Z1,Hyperrhenia filipendula,Moderate,15.9,4184,TFB
2024,A,3,Z1,Heteropogon contortus,Moderate,15.3,4071,TFB
2024,A,3,Z1,Aristida adscensionis,Low,15.4,4090,TFB
2024,A,3,Z2,Urochloa mosambicensis,Moderate,31.7,6422,TFB
2024,A,3,Z2,Loudetia simplex,Low,31.7,6422,TFB
2024,A,3,Z2,Bothriochloa insculpta,Moderate,28.7,6151,TFB
2024,A,3,Z2,,,25.3,5741,TFB
2024,A,3,Z2,Bothriochloa insculpta,Moderate,3.6,1108,TFB
2024,A,3,Z2,Cymbopogon excavatus,Low,11.2,3231,TFB
2024,A,3,Z2,Aristida adscensionis,Low,12.5,3512,TFB
2024,A,3,Z2,,,12.7,3554,TFB
2024,A,3,Z2,Bothriochloa insculpta,Moderate,51.3,7093,TFB
2024,A,3,Z2,Hyperrhenia hirta,Moderate,36,6719,TFB
2024,A,3,Z2,,,43.7,7022,TFB
2024,A,3,Z2,,,46.1,7066,TFB
2024,A,3,Z2,Bothriochloa insculpta,Moderate,5.9,1873,TFB
2024,A,3,Z2,Hyperrhenia hirta,Moderate,8.7,2642,TFB
2024,A,3,Z2,Digitaria eriantha,High,12.6,3533,TFB
2024,A,3,Z2,Eragrostis gummiflua,Low,12.7,3554,TFB
2024,A,3,Z2,Urochloa mosambicensis,Moderate,11.8,3363,TFB
2024,A,3,Z2,Bothriochloa insculpta,Moderate,15.7,4147,TFB
2024,A,3,Z2,Eragrostis gummiflua,Low,18.6,4669,TFB
2024,A,3,Z2,,,20.6,5006,TFB
2024,A,3,Z3,Heteropogon contortus,Moderate,10.7,3119,TFB
2024,A,3,Z3,Aristida adscensionis,Low,16.9,4368,TFB
2024,A,3,Z3,Melinis repens,Low,13.6,3738,TFB
2024,A,3,Z3,Eragrostis rigidior,Moderate,13.5,3718,TFB
2024,A,3,Z3,Cynodon dactylon,High,31.8,6430,TFB
2024,A,3,Z3,Urochloa mosambicensis,Moderate,29,6181,TFB
2024,A,3,Z3,Setaria pumila ,Moderate,26.4,5904,TFB
2024,A,3,Z3,,,25.9,5830,TFB
2024,A,3,Z3,Heteropogon contortus,Moderate,26.8,5950,TFB
2024,A,3,Z3,Aristida adscensionis,Low,19.2,4772,TFB
2024,A,3,Z3,Urochloa mosambicensis,Moderate,17.8,4529,TFB
2024,A,3,Z3,Cymbopogon excavatus,Low,16.9,4368,TFB
2024,A,3,Z3,Digitaria eriantha,High,0,0,TFB
2024,A,3,Z3,Aristida adscensionis,Low,6.8,2136,TFB
2024,A,3,Z3,Urochloa mosambicensis,Moderate,11.5,3297,TFB
2024,A,3,Z3,Hyperrhenia filipendula,Moderate,17.8,4529,TFB
2024,A,3,Z3,Setaria incrassata,High,14.2,3858,TFB
2024,A,3,Z3,Eragrostis superba,Moderate,0,0,TFB
2024,A,3,Z3,Urochloa mosambicensis,Moderate,31.7,6422,TFB
2024,A,3,Z3,Hyperrhenia filipendula,Moderate,19.9,4890,TFB
2024,A,3,Z3,Hyperrhenia hirta,Moderate,18.7,4686,TFB
2024,A,3,Z3,Pogonarthria squarrosa ,Low,18.5,4652,TFB
2024,A,3,Z4,Heteropogon contortus,Moderate,14.9,3995,TFB
2024,A,3,Z4,Aristida adscensionis,Low,17.3,4440,TFB
2024,A,3,Z4,,,19.4,4806,TFB
2024,A,3,Z4,,,16.1,4222,TFB
2024,A,3,Z4,Heteropogon contortus,Moderate,8.5,2592,TFB
2024,A,3,Z4,Melinis repens,Low,9.7,2887,TFB
2024,A,3,Z4,Digitaria eriantha,High,11.6,3319,TFB
2024,A,3,Z4,Setaria incrassata,High,10.6,3096,TFB
2024,A,3,Z4,Heteropogon contortus,Moderate,6,1903,TFB
2024,A,3,Z4,Urochloa mosambicensis,Moderate,10.9,3164,TFB
2024,A,3,Z4,Themeda triandra,High,11.4,3276,TFB
2024,A,3,Z4,,,13.2,3657,TFB
2024,A,3,Z4,Urochloa mosambicensis,Moderate,42.7,6997,TFB
2024,A,3,Z4,Melinis repens,Low,41.3,6956,TFB
2024,A,3,Z4,Cymbopogon excavatus,Low,37.6,6804,TFB
2024,A,3,Z4,,,36.9,6768,TFB
2024,A,3,Z4,Heteropogon contortus,Moderate,6.4,2022,TFB
2024,A,3,Z4,Aristida adscensionis,Low,18,4564,TFB
2024,A,3,Z4,Urochloa mosambicensis,Moderate,21,5072,TFB
2024,A,3,Z4,Hyperrhenia filipendula,Moderate,23.8,5514,TFB
2024,A,3,Z4,Pogonarthria squarrosa ,Low,0,0,TFB
2024,A,4,Z1,Bothriochloa insculpta,Moderate,19.7,4856,TF
2024,A,4,Z1,,,22.4,5296,TF
2024,A,4,Z1,,,22.6,5328,TF
2024,A,4,Z1,,,25,5696,TF
2024,A,4,Z1,Brachiaria serrata,Moderate,21,5072,TF
2024,A,4,Z1,Eragrostis gummiflua,Low,20.5,4990,TF
2024,A,4,Z1,Bothriochloa insculpta,Moderate,20.4,4973,TF
2024,A,4,Z1,,,20.5,4990,TF
2024,A,4,Z1,Heteropogon contortus,Moderate,22.5,5312,TF
2024,A,4,Z1,Themeda triandra,High,22.5,5312,TF
2024,A,4,Z1,,,22.5,5312,TF
2024,A,4,Z1,,,22.5,5312,TF
2024,A,4,Z1,Bothriochloa insculpta,Moderate,24.1,5560,TF
2024,A,4,Z1,Cymbopogon excavatus,Low,32,6446,TF
2024,A,4,Z1,,,34.3,6613,TF
2024,A,4,Z1,,,32.5,6485,TF
2024,A,4,Z1,Bothriochloa insculpta,Moderate,35.6,6695,TF
2024,A,4,Z1,Urochloa mosambicensis,Moderate,27.9,6069,TF
2024,A,4,Z1,,,33.3,6544,TF
2024,A,4,Z1,,,37,6774,TF
2024,A,4,Z2,Bothriochloa insculpta,Moderate,20.5,4990,TF
2024,A,4,Z2,Digitaria eriantha,High,21.7,5185,TF
2024,A,4,Z2,,,22,5233,TF
2024,A,4,Z1,,,21.4,5136,TF
2024,A,4,Z2,Aristida adscensionis,Low,18.7,4686,TF
2024,A,4,Z2,Cymbopogon excavatus,Low,19.2,4772,TF
2024,A,4,Z2,Heteropogon contortus,Moderate,18.9,4721,TF
2024,A,4,Z2,Digitaria eriantha,High,18.5,4652,TF
2024,A,4,Z2,Aristida adscensionis,Low,20.5,4990,TF
2024,A,4,Z2,Heteropogon contortus,Moderate,20.7,5023,TF
2024,A,4,Z2,,,20.5,4990,TF
2024,A,4,Z2,,,21.4,5136,TF
2024,A,4,Z2,Cymbopogon excavatus,Low,36.4,6741,TF
2024,A,4,Z2,Heteropogon contortus,Moderate,36.6,6752,TF
2024,A,4,Z2,Andropogon eucomus,Low,32.1,6454,TF
2024,A,4,Z2,,,30.6,6329,TF
2024,A,4,Z2,Aristida adscensionis,Low,23,5390,TF
2024,A,4,Z2,Themeda triandra,High,23.1,5406,TF
2024,A,4,Z2,,,21.7,5185,TF
2024,A,4,Z2,,,21.1,5088,TF
2024,A,4,Z3,Loudetia simplex,Low,20.2,4940,TF
2024,A,4,Z3,Bothriochloa insculpta,Moderate,20.1,4923,TF
2024,A,4,Z3,,,20.1,4923,TF
2024,A,4,Z3,,,20.4,4973,TF
2024,A,4,Z3,Bothriochloa insculpta,Moderate,20.2,4940,TF
2024,A,4,Z3,Aristida adscensionis,Low,20.3,4957,TF
2024,A,4,Z3,,,20.6,5006,TF
2024,A,4,Z3,,,20,4907,TF
2024,A,4,Z3,Bothriochloa insculpta,Moderate,12.7,3554,TF
2024,A,4,Z3,Andropogon eucomus,Low,17.2,4422,TF
2024,A,4,Z3,,,16.1,4222,TF
2024,A,4,Z3,,,17.3,4440,TF
2024,A,4,Z3,Urochloa mosambicensis,Moderate,3.7,1144,TF
2024,A,4,Z3,Digitaria eriantha,High,9.5,2839,TF
2024,A,4,Z3,Andropogon eucomus,Low,13,3616,TF
2024,A,4,Z3,Bothriochloa insculpta,Moderate,11.4,3276,TF
2024,A,4,Z3,Bothriochloa insculpta,Moderate,19.6,4840,TF
2024,A,4,Z3,Aristida adscensionis,Low,20,4907,TF
2024,A,4,Z3,,,20.1,4923,TF
2024,A,4,Z3,,,20.1,4923,TF
2024,A,4,Z4,Bothriochloa insculpta,Moderate,18.3,4617,TF
2024,A,4,Z4,Heteropogon contortus,Moderate,18.9,4721,TF
2024,A,4,Z4,Melinis repens,Low,19,4738,TF
2024,A,4,Z4,,,18.9,4721,TF
2024,A,4,Z4,Andropogon eucomus,Low,17.9,4547,TF
2024,A,4,Z4,Urochloa mosambicensis,Moderate,19.1,4755,TF
2024,A,4,Z4,Cymbopogon excavatus,Low,19.4,4806,TF
2024,A,4,Z4,,,19.4,4806,TF
2024,A,4,Z4,Heteropogon contortus,Moderate,23,5390,TF
2024,A,4,Z4,Themeda triandra,High,22.2,5265,TF
2024,A,4,Z4,Eragrostis superba,Moderate,21.3,5120,TF
2024,A,4,Z4,,,20.8,5039,TF
2024,A,4,Z4,Bothriochloa insculpta,Moderate,19.9,4890,TF
2024,A,4,Z4,Heteropogon contortus,Moderate,19.9,4890,TF
2024,A,4,Z4,Digitaria eriantha,High,19.5,4823,TF
2024,A,4,Z4,,,19.2,4772,TF
2024,A,4,Z4,Heteropogon contortus,Moderate,25.7,5800,TF
2024,A,4,Z4,Themeda triandra,High,17.1,4404,TF
2024,A,4,Z4,Eragrostis superba,Moderate,17.8,4529,TF
2024,A,4,Z4,Digitaria eriantha,High,22.1,5249,TF
2024,A,5,Z1,Hyperrhenia hirta,Moderate,12.1,3427,THF
2024,A,5,Z1,Urochloa mosambicensis,Moderate,13.8,3779,THF
2024,A,5,Z1,Hyperrhenia filipendula,Moderate,13.7,3759,THF
2024,A,5,Z1,Bothriochloa insculpta,Moderate,14.2,3858,THF
2024,A,5,Z1,Heteropogon contortus,Moderate,0,0,THF
2024,A,5,Z1,Aristida adscensionis,Low,0,0,THF
2024,A,5,Z1,Urochloa mosambicensis,Moderate,25.6,5785,THF
2024,A,5,Z1,Aristida adscensionis,Low,20.8,5039,THF
2024,A,5,Z1,,,22.3,5280,THF
2024,A,5,Z1,,,22.7,5343,THF
2024,A,5,Z1,Cymbopogon excavatus,Low,28.2,6100,THF
2024,A,5,Z1,Bothriochloa insculpta,Moderate,28.8,6161,THF
2024,A,5,Z1,Urochloa mosambicensis,Moderate,31.2,6380,THF
2024,A,5,Z1,,,28.8,6161,THF
2024,A,5,Z1,Hyperrhenia hirta,Moderate,21,5072,THF
2024,A,5,Z1,Heteropogon contortus,Moderate,17.1,4404,THF
2024,A,5,Z1,Urochloa mosambicensis,Moderate,21.7,5185,THF
2024,A,5,Z1,,,23,5390,THF
2024,A,5,Z1,Urochloa mosambicensis,Moderate,17.1,4404,THF
2024,A,5,Z1,Hyperrhenia filipendula,Moderate,14.7,3956,THF
2024,A,5,Z1,Bothriochloa insculpta,Moderate,21.1,5088,THF
2024,A,5,Z1,,,21.4,5136,THF
2024,A,5,Z2,Urochloa mosambicensis,Moderate,22.6,5328,THF
2024,A,5,Z2,Heteropogon contortus,Moderate,16.8,4350,THF
2024,A,5,Z2,Aristida adscensionis,Low,14.9,3995,THF
2024,A,5,Z2,Setaria sphacelata ,High,13.6,3738,THF
2024,A,5,Z2,Urochloa mosambicensis,Moderate,10.6,3096,THF
2024,A,5,Z2,Bothriochloa insculpta,Moderate,14.8,3975,THF
2024,A,5,Z2,Heteropogon contortus,Moderate,17,4386,THF
2024,A,5,Z2,Aristida adscensionis,Low,19.8,4873,THF
2024,A,5,Z2,Melinis repens ,Low,0,0,THF
2024,A,5,Z2,Panicum maximum,High,10.8,3142,THF
2024,A,5,Z2,Hyperrhenia filipendula,Moderate,9.2,2766,THF
2024,A,5,Z2,,,11.4,3276,THF
2024,A,5,Z2,,,10.3,3027,THF
2024,A,5,Z2,Heteropogon contortus,Moderate,17.7,4512,THF
2024,A,5,Z2,Hyperrhenia filipendula,Moderate,17.5,4476,THF
2024,A,5,Z2,Cymbopogon excavatus,Low,17.4,4458,THF
2024,A,5,Z2,,,16.4,4277,THF
2024,A,5,Z2,Urochloa mosambicensis,Moderate,15.1,4033,THF
2024,A,5,Z2,Cymbopogon excavatus,Low,17.3,4440,THF
2024,A,5,Z2,,,20.1,4923,THF
2024,A,5,Z2,,,22.7,5343,THF
2024,A,5,Z3,Bothriochloa insculpta,Moderate,29.8,6257,THF
2024,A,5,Z3,Urochloa mosambicensis,Moderate,26.7,5938,THF
2024,A,5,Z3,,,22.3,5280,THF
