Year,Site,Plot,Subplot,Species_name,DPM_Height,Fencing,Treatment,Encroachment_level,Biomass
2024,A,2,Z3,Urochloa mosambicensis,23.8,Unfenced,F,Moderate,4433
2024,A,2,Z3,Heteropogon contortus,22.7,Unfenced,F,Moderate,4183
2024,A,2,Z3,NA,23.7,Unfenced,F,Moderate,4410
2024,A,2,Z3,Eragrostis gummiflua,10.2,Unfenced,F,Moderate,1476
2024,A,2,Z3,Bothriochloa insculpta,13.9,Unfenced,F,Moderate,2243
2024,A,2,Z3,Cymbopogon excavatus,11,Unfenced,F,Moderate,1638
2024,A,2,Z3,Eragrostis superba,10.9,Unfenced,F,Moderate,1618
2024,A,2,Z4,Aristida adscensionis,12.5,Unfenced,F,Moderate,1948
2024,A,2,Z4,Hyperrhenia filipendula,12.3,Unfenced,F,Moderate,1906
2024,A,2,Z4,Setaria pumila,17,Unfenced,F,Moderate,2911
2024,A,2,Z4,NA,16.3,Unfenced,F,Moderate,2758
2024,A,2,Z4,Hyperrhenia filipendula,17.2,Unfenced,F,Moderate,2955
2024,A,2,Z4,Urochloa mosambicensis,9.6,Unfenced,F,Moderate,1356
2024,A,2,Z4,NA,27.7,Unfenced,F,Moderate,5330
2024,A,2,Z4,NA,34.9,Unfenced,F,Moderate,7019
2024,A,2,Z4,Heteropogon contortus,13.1,Unfenced,F,Moderate,2074
2024,A,2,Z4,Cymbopogon excavatus,16.9,Unfenced,F,Moderate,2889
2024,A,2,Z4,Urochloa mosambicensis,18.2,Unfenced,F,Moderate,3175
2024,A,2,Z4,Hyperrhenia filipendula,21.2,Unfenced,F,Moderate,3844
2024,A,2,Z4,Urochloa mosambicensis,39.1,Unfenced,F,Moderate,8019
2024,A,2,Z4,Hyperrhenia filipendula,43,Unfenced,F,Moderate,8956
2024,A,2,Z4,NA,34.6,Unfenced,F,Moderate,6948
2024,A,2,Z4,NA,30.8,Unfenced,F,Moderate,6052
2024,A,2,Z4,Urochloa mosambicensis,29,Unfenced,F,Moderate,5632
2024,A,2,Z4,Hyperrhenia filipendula,31.6,Unfenced,F,Moderate,6240
2024,A,2,Z4,NA,32.6,Unfenced,F,Moderate,6475
2024,A,2,Z4,NA,33.3,Unfenced,F,Moderate,6640
2024,A,3,Z1,Aristida diffusa,38,Fenced,TFB,Moderate,7756
2024,A,3,Z1,Aristida congesta c,29.8,Fenced,TFB,Moderate,5819
2024,A,3,Z1,Melinis repens,22,Fenced,TFB,Moderate,4024
2024,A,3,Z1,Urochloa mosambicensis,23.9,Fenced,TFB,Moderate,4456
2024,A,3,Z1,Hyperrhenia filipendula,11.8,Fenced,TFB,Moderate,1803
2024,A,3,Z1,NA,17.1,Fenced,TFB,Moderate,2933
2024,A,3,Z1,NA,15.3,Fenced,TFB,Moderate,2542
2024,A,3,Z1,NA,15.7,Fenced,TFB,Moderate,2628
2024,A,3,Z1,Bothriochloa insculpta,15.4,Fenced,TFB,Moderate,2564
2024,A,3,Z1,Urochloa mosambicensis,16.8,Fenced,TFB,Moderate,2867
