,Year,Site,Plot,Subplot,Spp_name,Grazing_value,DPM_Height,Treatment,Fencing
355,2024,A,5,Z2,Heteropogon contortus,Moderate,16.8,THF,Unfenced
356,2024,A,5,Z2,Aristida adscensionis,Low,14.9,THF,Unfenced
357,2024,A,5,Z2,Setaria sphacelata,High,13.6,THF,Unfenced
358,2024,A,5,Z2,Urochloa mosambicensis,Moderate,10.6,THF,Unfenced
359,2024,A,5,Z2,Bothriochloa insculpta,Moderate,14.8,THF,Unfenced
360,2024,A,5,Z2,Heteropogon contortus,Moderate,17,THF,Unfenced
361,2024,A,5,Z2,Aristida adscensionis,Low,19.8,THF,Unfenced
362,2024,A,5,Z2,Melinis repens,Low,NA,THF,Unfenced
363,2024,A,5,Z2,Panicum maximum,High,10.8,THF,Unfenced
364,2024,A,5,Z2,Hyperrhenia filipendula,Moderate,9.2,THF,Unfenced
365,2024,A,5,Z2,NA,NA,11.4,THF,Unfenced
366,2024,A,5,Z2,NA,NA,10.3,THF,Unfenced
