Year,Site,Plot,Subplot,Spp_name,Grazing_value,DPM_Height,Treatment
2024,A,3,Z2,Bothriochloa insculpta,Moderate,51.3,TFB
2024,A,3,Z2,Hyperrhenia hirta,Moderate,36,TFB
2024,A,3,Z2,,,43.7,TFB
2024,A,3,Z2,,,46.1,TFB
2024,A,3,Z2,Bothriochloa insculpta,Moderate,5.9,TFB
2024,A,3,Z2,Hyperrhenia hirta,Moderate,8.7,TFB
2024,A,3,Z2,Digitaria eriantha,High,12.6,TFB
2024,A,3,Z2,Eragrostis gummiflua,Low,12.7,TFB
2024,A,3,Z2,Urochloa mosambicensis,Moderate,11.8,TFB
2024,A,3,Z2,Bothriochloa insculpta,Moderate,15.7,TFB
2024,A,3,Z2,Eragrostis gummiflua,Low,18.6,TFB
2024,A,3,Z2,,,20.6,TFB
2024,A,3,Z3,Heteropogon contortus,Moderate,10.7,TFB
2024,A,3,Z3,Aristida adscensionis,Low,16.9,TFB
2024,A,3,Z3,Melinis repens,Low,13.6,TFB
2024,A,3,Z3,Eragrostis rigidior,Moderate,13.5,TFB
2024,A,3,Z3,Cynodon dactylon,High,31.8,TFB
2024,A,3,Z3,Urochloa mosambicensis,Moderate,29,TFB
2024,A,3,Z3,Setaria pumila ,Moderate,26.4,TFB
2024,A,3,Z3,,,25.9,TFB
2024,A,3,Z3,Heteropogon contortus,Moderate,26.8,TFB
2024,A,3,Z3,Aristida adscensionis,Low,19.2,TFB
2024,A,3,Z3,Urochloa mosambicensis,Moderate,17.8,TFB
2024,A,3,Z3,Cymbopogon excavatus,Low,16.9,TFB
2024,A,3,Z3,Digitaria eriantha,High,NA,TFB
2024,A,3,Z3,Aristida adscensionis,Low,6.8,TFB
2024,A,3,Z3,Urochloa mosambicensis,Moderate,11.5,TFB
2024,A,3,Z3,Hyperrhenia filipendula,Moderate,17.8,TFB
2024,A,3,Z3,Setaria incrassata,High,14.2,TFB
2024,A,3,Z3,Eragrostis superba,Moderate,NA,TFB
2024,A,3,Z3,Urochloa mosambicensis,Moderate,31.7,TFB
2024,A,3,Z3,Hyperrhenia filipendula,Moderate,19.9,TFB
2024,A,3,Z3,Hyperrhenia hirta,Moderate,18.7,TFB
2024,A,3,Z3,Pogonarthria squarrosa ,Low,18.5,TFB
2024,A,3,Z4,Heteropogon contortus,Moderate,14.9,TFB
2024,A,3,Z4,Aristida adscensionis,Low,17.3,TFB
2024,A,3,Z4,,,19.4,TFB
2024,A,3,Z4,,,16.1,TFB
2024,A,3,Z4,Heteropogon contortus,Moderate,8.5,TFB
2024,A,3,Z4,Melinis repens,Low,9.7,TFB
2024,A,3,Z4,Digitaria eriantha,High,11.6,TFB
2024,A,3,Z4,Setaria incrassata,High,10.6,TFB
2024,A,3,Z4,Heteropogon contortus,Moderate,6,TFB
2024,A,3,Z4,Urochloa mosambicensis,Moderate,10.9,TFB
2024,A,3,Z4,Themeda triandra,High,11.4,TFB
2024,A,3,Z4,,,13.2,TFB
2024,A,3,Z4,Urochloa mosambicensis,Moderate,42.7,TFB
2024,A,3,Z4,Melinis repens,Low,41.3,TFB
2024,A,3,Z4,Cymbopogon excavatus,Low,37.6,TFB
2024,A,3,Z4,,,36.9,TFB
2024,A,3,Z4,Heteropogon contortus,Moderate,6.4,TFB
2024,A,3,Z4,Aristida adscensionis,Low,18,TFB
2024,A,3,Z4,Urochloa mosambicensis,Moderate,21,TFB
2024,A,3,Z4,Hyperrhenia filipendula,Moderate,23.8,TFB
2024,A,3,Z4,Pogonarthria squarrosa ,Low,NA,TFB
2024,A,4,Z1,Bothriochloa insculpta,Moderate,19.7,TF
2024,A,4,Z1,,,22.4,TF
2024,A,4,Z1,,,22.6,TF
2024,A,4,Z1,,,25,TF
2024,A,4,Z1,Brachiaria serrata,Moderate,21,TF
2024,A,4,Z1,Eragrostis gummiflua,Low,20.5,TF
2024,A,4,Z1,Bothriochloa insculpta,Moderate,20.4,TF
2024,A,4,Z1,,,20.5,TF
2024,A,4,Z1,Heteropogon contortus,Moderate,22.5,TF
2024,A,4,Z1,Themeda triandra,High,22.5,TF
2024,A,4,Z1,,,22.5,TF
2024,A,4,Z1,,,22.5,TF
2024,A,4,Z1,Bothriochloa insculpta,Moderate,24.1,TF
2024,A,4,Z1,Cymbopogon excavatus,Low,32,TF
2024,A,4,Z1,,,34.3,TF
2024,A,4,Z1,,,32.5,TF
2024,A,4,Z1,Bothriochloa insculpta,Moderate,35.6,TF
2024,A,4,Z1,Urochloa mosambicensis,Moderate,27.9,TF
2024,A,4,Z1,,,33.3,TF
2024,A,4,Z1,,,37,TF
2024,A,4,Z2,Bothriochloa insculpta,Moderate,20.5,TF
2024,A,4,Z2,Digitaria eriantha,High,21.7,TF
2024,A,4,Z2,,,22,TF
2024,A,4,Z1,,,21.4,TF
2024,A,4,Z2,Aristida adscensionis,Low,18.7,TF
2024,A,4,Z2,Cymbopogon excavatus,Low,19.2,TF
2024,A,4,Z2,Heteropogon contortus,Moderate,18.9,TF
2024,A,4,Z2,Digitaria eriantha,High,18.5,TF
2024,A,4,Z2,Aristida adscensionis,Low,20.5,TF
2024,A,4,Z2,Heteropogon contortus,Moderate,20.7,TF
2024,A,4,Z2,,,20.5,TF
2024,A,4,Z2,,,21.4,TF
2024,A,4,Z2,Cymbopogon excavatus,Low,36.4,TF
2024,A,4,Z2,Heteropogon contortus,Moderate,36.6,TF
2024,A,4,Z2,Andropogon eucomus,Low,32.1,TF
2024,A,4,Z2,,,30.6,TF
2024,A,4,Z2,Aristida adscensionis,Low,23,TF
2024,A,4,Z2,Themeda triandra,High,23.1,TF
2024,A,4,Z2,,,21.7,TF
2024,A,4,Z2,,,21.1,TF
2024,A,4,Z3,Loudetia simplex,Low,20.2,TF
2024,A,4,Z3,Bothriochloa insculpta,Moderate,20.1,TF
2024,A,4,Z3,,,20.1,TF
2024,A,4,Z3,,,20.4,TF
2024,A,4,Z3,Bothriochloa insculpta,Moderate,20.2,TF
2024,A,4,Z3,Aristida adscensionis,Low,20.3,TF
2024,A,4,Z3,,,20.6,TF
2024,A,4,Z3,,,20,TF
2024,A,4,Z3,Bothriochloa insculpta,Moderate,12.7,TF
2024,A,4,Z3,Andropogon eucomus,Low,17.2,TF
2024,A,4,Z3,,,16.1,TF
2024,A,4,Z3,,,17.3,TF
2024,A,4,Z3,Urochloa mosambicensis,Moderate,3.7,TF
2024,A,4,Z3,Digitaria eriantha,High,9.5,TF
2024,A,4,Z3,Andropogon eucomus,Low,13,TF
2024,A,4,Z3,Bothriochloa insculpta,Moderate,11.4,TF
2024,A,4,Z3,Bothriochloa insculpta,Moderate,19.6,TF
2024,A,4,Z3,Aristida adscensionis,Low,20,TF
2024,A,4,Z3,,,20.1,TF
2024,A,4,Z3,,,20.1,TF
2024,A,4,Z4,Bothriochloa insculpta,Moderate,18.3,TF
2024,A,4,Z4,Heteropogon contortus,Moderate,18.9,TF
2024,A,4,Z4,Melinis repens,Low,19,TF
2024,A,4,Z4,,,18.9,TF
2024,A,4,Z4,Andropogon eucomus,Low,17.9,TF
2024,A,4,Z4,Urochloa mosambicensis,Moderate,19.1,TF
2024,A,4,Z4,Cymbopogon excavatus,Low,19.4,TF
2024,A,4,Z4,,,19.4,TF
