Year,Site,Plot,Subplot,Fencing,Encroachment_level,Treatment,Species_name,Max_height(m),No_of_resprouts ,Length_of_ longest_ resprout_(cm),Mode_of_resprouting ,Stem_diameter_(cm),Woody_class,Dead (m),BD,BD_Height,Comment
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Diospyros lycioides,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Diospyros lycioides,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Diospyros lycioides,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Diospyros lycioides,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Diospyros lycioides,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Diospyros lycioides,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Diplorhynchus condylocarpon,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Euclea divinorum,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Euclea divinorum,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Euclea divinorum,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Euclea divinorum,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Euclea divinorum,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Euclea divinorum,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Euclea divinorum,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Euclea divinorum,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Euclea divinorum,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Fluegga virosa,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Gardenia volkensii subsp. spatulifolia,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Gardenia volkensii subsp. spatulifolia,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Gardenia volkensii subsp. spatulifolia,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Gardenia volkensii subsp. spatulifolia,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Grewia decomovulata,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Grewia decomovulata,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Grewia decomovulata,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Grewia monticola,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Grewia monticola,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Grewia monticola,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Grewia monticola,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Grewia monticola,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Grewia monticola,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Gymnosporia senegalensis,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Gymnosporia senegalensis,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Gymnosporia senegalensis,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Peltophorum africanum,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Peltophorum africanum,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Peltophorum africanum,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Peltophorum africanum,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Peltophorum africanum,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Piliostigma thonningii,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Piliostigma thonningii,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Piliostigma thonningii,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Piliostigma thonningii,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Searsia lancea,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Searsia leptodictya,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Searsia leptodictya,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Searsia leptodictya,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Searsia leptodictya,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Searsia leptodictya,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Searsia leptodictya,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
