Date,Site,Plot,Subplot,Quadrat,Spp_name,Number,Grazing_value,DPM Height,KgDM,Grazing activity,Quadrat under canopy,Biomass intensity,Dung presence,Longest_grass(m),Fencing,Treatment,
08/04/2025,F,5,Z4,5,Digitaria erianthra,6,,5.3,1242,N,Y,4,N,,Unfenced,THF,
08/04/2025,F,5,Z4,5,Eragrostis rigidior,2,,5.3,1242,,,,,,Unfenced,THF,
08/04/2025,F,5,Z4,5,Setaria incressata,3,,5.4,1236,,,,,,Unfenced,THF,
08/04/2025,F,5,Z4,5,Aristida adscensionis,1,,6.6,1340,,,,,,Unfenced,THF,
08/04/2025,F,4,Z2,1,Eragrostis rigidior,3,,9.8,1872,N,N,4,N,,Fenced,TFB,
08/04/2025,F,4,Z2,1,,,,10.2,1928,,,,,,Fenced,TFB,
08/04/2025,F,4,Z2,1,,,,8.8,1732,,,,,,Fenced,TFB,
08/04/2025,F,4,Z2,1,,,,7.8,1592,,,,,,Fenced,TFB,
08/04/2025,F,4,Z2,4,Pogonarthria squarrosa ,6,,3.6,1004,N,Y,2.5,N,,Fenced,TFB,
08/04/2025,F,4,Z2,4,Setaria incressata,2,,3.4,976,,,,,,Fenced,TFB,
08/04/2025,F,4,Z2,4,,,,4.5,1130,,,,,,Fenced,TFB,
08/04/2025,F,4,Z2,4,,,,5.1,1214,,,,,,Fenced,TFB,
08/04/2025,F,4,Z2,3,Chloris virgata,2,,4.7,1158,N,Y,1,N,,Fenced,TFB,
08/04/2025,F,4,Z2,3,,,,4.3,1102,,,,,,Fenced,TFB,
08/04/2025,F,4,Z2,3,,,,4.1,1074,,,,,,Fenced,TFB,
08/04/2025,F,4,Z2,3,,,,4.2,1088,,,,,,Fenced,TFB,
08/04/2025,F,4,Z2,2,Brachiaria nigropedata,1,,6.4,1396,N,N,2.5,N,,Fenced,TFB,
08/04/2025,F,4,Z2,2,Eragrostis rigidior,1,,5.6,1284,,,,,,Fenced,TFB,
08/04/2025,F,4,Z2,2,Cynodon dactylon,1,,5.3,1242,,,,,,Fenced,TFB,
08/04/2025,F,4,Z2,2,Eragrostis gummiflua,4,,5.7,1298,,,,,,Fenced,TFB,
08/04/2025,F,4,Z2,5,Brachiaria nigropedata,1,,5.4,1256,N,N,3,N,,Fenced,TFB,
08/04/2025,F,4,Z2,5,Eragrostis rigidior,5,,4.3,1102,,,,,,Fenced,TFB,
08/04/2025,F,4,Z2,5,Digitaria erianthra,4,,8.1,1634,,,,,,Fenced,TFB,
08/04/2025,F,4,Z2,5,,,,8.5,1690,,,,,,Fenced,TFB,
08/04/2025,F,4,Z3,2,Cynodon dactylon,6,,4.5,1130,N,N,3,N,,Unfenced,TFB,
08/04/2025,F,4,Z3,2,Setaria incressata,3,,4.1,1074,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z3,2,Aristida adscensionis,1,,4,1060,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z3,2,,,,3.7,1018,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z3,5,Digitaria erianthra,10,,4.7,1158,Y,N,6,N,,Unfenced,TFB,
08/04/2025,F,4,Z3,5,Eragrostis viscosa,2,,5.3,1242,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z3,5,Eragrostis rigidior,1,,5.4,1256,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z3,5,Cynodon dactylon,2,,5.4,1256,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z3,3,Digitaria erianthra,11,,6,1340,N,Y,3,N,,Unfenced,TFB,
08/04/2025,F,4,Z3,3,Heteropogon contortus,1,,5.1,1214,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z3,3,,,,5,1210,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z3,3,,,,4.9,1186,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z3,4,Aristida adscensionis,1,,6,1340,Y,Y,3.5,N,,Unfenced,TFB,
08/04/2025,F,4,Z3,4,Digitaria erianthra,15,,6.1,1354,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z3,4,Eragrostis viscosa,1,,5.9,1326,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z3,4,,,,6.2,1368,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z3,1,Eragrostis rigidior,5,,9.3,1802,N,N,5,N,,Unfenced,TFB,
08/04/2025,F,4,Z3,1,Digitaria erianthra,4,,7.1,1494,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z3,1,Eragrostis viscosa,6,,6,1340,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z3,1,Cynodon dactylon,3,,5.7,1298,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z1,1,Setaria incressata,4,,5.5,1270,,,,,,Fenced,TFB,
08/04/2025,F,4,Z1,1,Eragrostis viscosa,7,,5.2,1228,,,,,,Fenced,TFB,
08/04/2025,F,4,Z1,1,,,,4.8,1172,,,,,,Fenced,TFB,
08/04/2025,F,4,Z1,1,,,,4.4,1116,,,,,,Fenced,TFB,
08/04/2025,F,4,Z1,2,Brachiaria nigropedata,1,,8.5,1690,N,Y,2,N,,Fenced,TFB,
08/04/2025,F,4,Z1,2,Heteropogon contortus,1,,10.8,2012,,,,,,Fenced,TFB,
08/04/2025,F,4,Z1,2,,,,8.7,1718,,,,,,Fenced,TFB,
08/04/2025,F,4,Z1,2,,,,9.5,1844,,,,,,Fenced,TFB,
08/04/2025,F,4,Z1,3,Aristida adscensionis,3,,8.5,1802,N,Y,5,N,,Fenced,TFB,
08/04/2025,F,4,Z1,3,Setaria incressata,8,,10.8,1984,,,,,,Fenced,TFB,
08/04/2025,F,4,Z1,3,,,,10.2,1928,,,,,,Fenced,TFB,
08/04/2025,F,4,Z1,3,,,,10,1900,,,,,,Fenced,TFB,
08/04/2025,F,4,Z1,4,Setaria incressata,8,,8,1620,N,Y,4,N,,Fenced,TFB,
08/04/2025,F,4,Z1,4,Digitaria erianthra,4,,9.2,1788,,,,,,Fenced,TFB,
08/04/2025,F,4,Z1,4,,,,10,1900,,,,,,Fenced,TFB,
08/04/2025,F,4,Z1,4,,,,8.9,1746,,,,,,Fenced,TFB,
08/04/2025,F,4,Z1,5,Pogonarthria squarrosa ,7,,1.9,766,N,N,2,N,,Fenced,TFB,
08/04/2025,F,4,Z1,5,Eragrostis viscosa,1,,3.3,962,,,,,,Fenced,TFB,
08/04/2025,F,4,Z1,5,,,,3.3,962,,,,,,Fenced,TFB,
08/04/2025,F,4,Z1,5,,,,3.9,1046,,,,,,Fenced,TFB,
08/04/2025,F,4,Z4,2,Panicum maximum,3,,12,3286,N,N,8,N,,Unfenced,TFB,
08/04/2025,F,4,Z4,2,Enteropogon macrostachyus,1,,15.3,2642,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z4,2,,,,14,2460,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z4,2,,,,16.5,2810,N,Y,4.5,N,,Unfenced,TFB,
08/04/2025,F,4,Z4,5,Heteropogon contortus,1,,6.3,1382,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z4,5,Digitaria erianthra,1,,6.9,1466,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z4,5,Aristida adscensionis,1,,7.9,1606,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z4,5,Setaria incressata,4,,7.7,1578,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z4,5,Cynodon dactylon,2,,,,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z4,3,Digitaria erianthra,1,,2.6,864,N,Y,1.5,N,,Unfenced,TFB,
08/04/2025,F,4,Z4,3,Eragrostis viscosa,2,,2.7,878,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z4,3,Pogonarthria squarrosa ,1,,3.3,962,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z4,3,,,,4.1,1074,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z4,4,Digitaria erianthra,6,,3.4,976,N,N,3,N,,Unfenced,TFB,
