Year,Site,Plot,Subplot,Species_name,DPM_Height,Fencing,Treatment
2024,A,2,Z3,Eragrostis gummiflua,32.5,Unfenced,F
2024,A,2,Z3,Urochloa mosambicensis,32.4,Unfenced,F
2024,A,2,Z3,NA,31.1,Unfenced,F
2024,A,2,Z3,Bothriochloa insculpta,23.4,Unfenced,F
2024,A,2,Z3,Urochloa mosambicensis,23.8,Unfenced,F
2024,A,2,Z3,Heteropogon contortus,22.7,Unfenced,F
2024,A,2,Z3,NA,23.7,Unfenced,F
2024,A,2,Z3,Eragrostis gummiflua,10.2,Unfenced,F
2024,A,2,Z3,Bothriochloa insculpta,13.9,Unfenced,F
2024,A,2,Z3,Cymbopogon excavatus,11,Unfenced,F
2024,A,2,Z3,Eragrostis superba,10.9,Unfenced,F
2024,A,2,Z4,Aristida adscensionis,12.5,Unfenced,F
2024,A,2,Z4,Hyperrhenia filipendula,12.3,Unfenced,F
2024,A,2,Z4,Setaria pumila,17,Unfenced,F
2024,A,2,Z4,NA,16.3,Unfenced,F
2024,A,2,Z4,Hyperrhenia filipendula,17.2,Unfenced,F
2024,A,2,Z4,Urochloa mosambicensis,9.6,Unfenced,F
2024,A,2,Z4,NA,27.7,Unfenced,F
2024,A,2,Z4,NA,34.9,Unfenced,F
2024,A,2,Z4,Heteropogon contortus,13.1,Unfenced,F
2024,A,2,Z4,Cymbopogon excavatus,16.9,Unfenced,F
2024,A,2,Z4,Urochloa mosambicensis,18.2,Unfenced,F
2024,A,2,Z4,Hyperrhenia filipendula,21.2,Unfenced,F
2024,A,2,Z4,Urochloa mosambicensis,39.1,Unfenced,F
2024,A,2,Z4,Hyperrhenia filipendula,43,Unfenced,F
2024,A,2,Z4,NA,34.6,Unfenced,F
2024,A,2,Z4,NA,30.8,Unfenced,F
2024,A,2,Z4,Urochloa mosambicensis,29,Unfenced,F
2024,A,2,Z4,Hyperrhenia filipendula,31.6,Unfenced,F
2024,A,2,Z4,NA,32.6,Unfenced,F
2024,A,2,Z4,NA,33.3,Unfenced,F
2024,A,3,Z1,Aristida diffusa,38,Fenced,TFB
2024,A,3,Z1,Aristida congesta c,29.8,Fenced,TFB
2024,A,3,Z1,Melinis repens,22,Fenced,TFB
2024,A,3,Z1,Urochloa mosambicensis,23.9,Fenced,TFB
2024,A,3,Z1,Hyperrhenia filipendula,11.8,Fenced,TFB
2024,A,3,Z1,NA,17.1,Fenced,TFB
2024,A,3,Z1,NA,15.3,Fenced,TFB
2024,A,3,Z1,NA,15.7,Fenced,TFB
2024,A,3,Z1,Bothriochloa insculpta,15.4,Fenced,TFB
2024,A,3,Z1,Urochloa mosambicensis,16.8,Fenced,TFB
2024,A,3,Z1,Cymbopogon excavatus,16.7,Fenced,TFB
2024,A,3,Z1,NA,16.7,Fenced,TFB
2024,A,3,Z1,Hyperrhenia filipendula,21.9,Fenced,TFB
2024,A,3,Z1,Bothriochloa insculpta,21.8,Fenced,TFB
2024,A,3,Z1,Urochloa mosambicensis,20.9,Fenced,TFB
2024,A,3,Z1,NA,18.4,Fenced,TFB
2024,A,3,Z1,Urochloa mosambicensis,17.6,Fenced,TFB
2024,A,3,Z1,Hyperrhenia filipendula,15.9,Fenced,TFB
2024,A,3,Z1,Heteropogon contortus,15.3,Fenced,TFB
2024,A,3,Z1,Aristida adscensionis,15.4,Fenced,TFB
2024,A,3,Z2,Urochloa mosambicensis,31.7,Unfenced,TFB
2024,A,3,Z2,Loudetia simplex,31.7,Unfenced,TFB
2024,A,3,Z2,Bothriochloa insculpta,28.7,Unfenced,TFB
2024,A,3,Z2,NA,25.3,Unfenced,TFB
2024,A,3,Z2,Bothriochloa insculpta,3.6,Unfenced,TFB
2024,A,3,Z2,Cymbopogon excavatus,11.2,Unfenced,TFB
2024,A,3,Z2,Aristida adscensionis,12.5,Unfenced,TFB
2024,A,3,Z2,NA,12.7,Unfenced,TFB
2024,A,3,Z2,Bothriochloa insculpta,51.3,Unfenced,TFB
2024,A,3,Z2,Hyparrhenia hirta,36,Unfenced,TFB
2024,A,3,Z2,NA,43.7,Unfenced,TFB
2024,A,3,Z2,NA,46.1,Unfenced,TFB
2024,A,3,Z2,Bothriochloa insculpta,5.9,Unfenced,TFB
2024,A,3,Z2,Hyparrhenia hirta,8.7,Unfenced,TFB
2024,A,3,Z2,Digitaria eriantha,12.6,Unfenced,TFB
2024,A,3,Z2,Eragrostis gummiflua,12.7,Unfenced,TFB
2024,A,3,Z2,Urochloa mosambicensis,11.8,Unfenced,TFB
2024,A,3,Z2,Bothriochloa insculpta,15.7,Unfenced,TFB
2024,A,3,Z2,Eragrostis gummiflua,18.6,Unfenced,TFB
2024,A,3,Z2,NA,20.6,Unfenced,TFB
2024,A,3,Z3,Heteropogon contortus,10.7,Fenced,TFB
2024,A,3,Z3,Aristida adscensionis,16.9,Fenced,TFB
2024,A,3,Z3,Melinis repens,13.6,Fenced,TFB
2024,A,3,Z3,Eragrostis rigidior,13.5,Fenced,TFB
2024,A,3,Z3,Cynodon dactylon,31.8,Fenced,TFB
2024,A,3,Z3,Urochloa mosambicensis,29,Fenced,TFB
2024,A,3,Z3,Setaria pumila,26.4,Fenced,TFB
2024,A,3,Z3,NA,25.9,Fenced,TFB
2024,A,3,Z3,Heteropogon contortus,26.8,Fenced,TFB
2024,A,3,Z3,Aristida adscensionis,19.2,Fenced,TFB
2024,A,3,Z3,Urochloa mosambicensis,17.8,Fenced,TFB
2024,A,3,Z3,Cymbopogon excavatus,16.9,Fenced,TFB
2024,A,3,Z3,Digitaria eriantha,NA,Fenced,TFB
2024,A,3,Z3,Aristida adscensionis,6.8,Fenced,TFB
2024,A,3,Z3,Urochloa mosambicensis,11.5,Fenced,TFB
2024,A,3,Z3,Hyperrhenia filipendula,17.8,Fenced,TFB
2024,A,3,Z3,Setaria incrassata,14.2,Fenced,TFB
2024,A,3,Z3,Eragrostis superba,NA,Fenced,TFB
2024,A,3,Z3,Urochloa mosambicensis,31.7,Fenced,TFB
2024,A,3,Z3,Hyperrhenia filipendula,19.9,Fenced,TFB
2024,A,3,Z3,Hyparrhenia hirta,18.7,Fenced,TFB
2024,A,3,Z3,Pogonarthria squarrosa,18.5,Fenced,TFB
