Year,Dpm,Biomass
2024,7,1515
2024,5.3,1302
2024,5.5,1327
2024,6,1390
2024,5.8,1365
2024,5.8,1365
2024,9.8,1765
2024,8.5,1715
2024,15.3,2552
2024,15.8,2615
2024,13.8,2365
2024,14.5,2452
2024,8.7,1727
2024,11.4,2065
2024,13.4,2315
2024,11.4,2065
2024,8.7,1727
2024,8.5,1702
2024,8.5,1702
2024,8.3,1677
2024,10,1890
2024,10.6,1965
2024,10.4,1940
2024,10.5,1952
2024,8.9,1752
2024,9.1,1777
2024,9.7,1852
2024,10.3,1927
2024,10.8,1990
2024,10.8,1990
2024,8.9,1752
2024,7.7,1602
2024,12.2,2152
2024,11.3,2065
2024,10.5,1952
2024,10.5,1952
2024,12.9,2252
2024,15,2515
2024,14.3,2427
2024,5.6,2215
2024,10.7,2002
2024,10.6,1965
2024,10.4,1940
2024,10.1,1902
2024,10.6,1965
2024,10.2,1915
2024,10.5,1952
2024,10.4,1940
2024,5.1,1277
2024,13.2,2290
2024,11.4,2065
2024,19.9,2002
2024,6.8,1490
2024,8.1,1552
2024,8.1,1552
2024,8.8,1740
2024,6.3,1429
2024,6,1390
2024,8.3,1677
2024,7.2,1540
2024,2.8,990
2024,2.8,990
2024,2.8,990
2024,2.8,990
2024,13.2,2290
2024,12,2140
2024,11.4,2065
2024,11.6,2090
2024,8.3,1677
2024,8.4,1690
2024,9.1,1777
2024,10,1890
2024,13.2,2277
2024,12.7,2227
2024,12.2,2202
2024,12.3,2177
2024,11.6,2090
2024,12.2,2165
2024,12.3,2177
2024,13.1,2277
2024,5.1,2190
2024,12.8,2240
2024,12.5,2202
2024,12.1,2152
2025,9.7,1858
2025,11.1,2054
2025,12.1,2194
2025,17,2880
2025,2.7,878
2025,2.8,892
2025,2.8,892
2025,26.8,4252
2025,19.4,3216
2025,17.3,2922
2025,16.8,2852
2025,7.4,1536
2025,9.8,1872
2025,13,2320
2025,14.3,2502
2025,22.3,3622
2025,20.3,3342
2025,20.6,3384
2025,19.7,3258
2025,18.7,3118
2025,16.1,2754
2025,19.2,3188
2025,14.8,2572
2025,16,2740
2025,12,2194
2025,15,2614
2025,17.8,2992
2025,2.8,892
2025,6.9,1466
2025,6.3,1382
2025,6.4,1396
2025,24,3860
2025,16,2726
2025,14.7,2558
2025,14.8,2572
2025,6.8,1452
2025,3.4,976
2025,5.7,1298
2025,7.3,1522
2025,8.5,1690
2025,7.3,1522
2025,7.2,1509
2025,7,1480
2025,6.6,1424
2025,6.9,1466
2025,6.9,1466
2025,6.7,1438
2025,8.6,1704
2025,7.4,1536
2025,7.9,1606
2025,4.7,1158
2025,7.6,1564
2025,5.8,1312
2025,6.4,1396
2025,7.1,1494
2025,10.5,1970
2025,8.7,1718
2025,8.8,1732
2025,8.9,1746
2025,4.9,1186
2025,4.7,1158
2025,5.2,1228
2025,5.3,1242
2025,7,1480
2025,6.7,1438
2025,6.9,1466
2025,7.2,1508
2025,5.6,1284
2025,5,1200
2025,6.7,1438
2025,7.2,1508
2025,6.9,1466
2025,7,1480
2025,7.1,1494
2025,7.2,1508
2025,8,1606
2025,8.3,1662
2025,8,1606
2025,7.7,1578
2025,6.7,1438
2025,5.6,1284
2025,5.5,1270
2025,5.9,1326
2025,10.5,1970
2025,9.6,1844
2025,9,1760
2025,10.2,1928
2025,9.3,1802
2025,9.4,1016
2025,9,1760
2025,8.4,1676
2025,11.3,2082
2025,17,2880
2025,17.5,2950
2025,17.5,2950
2025,13.1,2334
2025,12.6,2124
2025,12.4,2236
2025,13.9,2446
2025,7,1480
2025,5.7,1296
2025,4.8,1172
2025,4.4,1116
2025,10.3,1942
2025,9.8,1872
2025,9.5,1830
2025,11.2,2068
2025,4.4,1116
2025,4.7,1158
2025,4.8,1172
2025,4.6,1144
2025,5.3,1242
2025,5.3,1242
2025,5.4,1236
2025,6.6,1340
2025,9.8,1872
2025,10.2,1928
2025,8.8,1732
2025,7.8,1592
2025,3.6,1004
2025,3.4,976
2025,4.5,1130
2025,5.1,1214
2025,4.7,1158
2025,4.3,1102
2025,4.1,1074
2025,4.2,1088
2025,6.4,1396
2025,5.6,1284
2025,5.3,1242
2025,5.7,1298
2025,5.4,1256
2025,4.3,1102
2025,8.1,1634
2025,8.5,1690
2025,4.5,1130
2025,4.1,1074
2025,4,1060
2025,3.7,1018
2025,4.7,1158
2025,5.3,1242
2025,5.4,1256
2025,5.4,1256
2025,6,1340
2025,5.1,1214
2025,5,1210
2025,4.9,1186
2025,6,1340
2025,6.1,1354
2025,5.9,1326
2025,6.2,1368
2025,9.3,1802
2025,7.1,1494
2025,6,1340
2025,5.7,1298
2025,5.5,1270
2025,5.2,1228
2025,4.8,1172
2025,4.4,1116
2025,8.5,1690
2025,10.8,2012
2025,8.7,1718
